Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,l_IC,r.ASIS,r.PSIS,r_5meta,r_IC,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0702491,0.0259728,0.0315441,0.00172836,0.00829296,0.00172857,0.00162747,0.00742827,0.0291516,0.00802061,0.0054883,0.0207862,0.0461001,0.00660147,0.00161573,0.00176929,0.00187545,0.00591616,0.00620449,0.00497655,0.00529035,0.0016173,0.0140126,0.0166584,0.00702001,0.0181296,0.0157069,0.00728289,0.00435132,0.0292271,0.0173968,0.0089751,0.0101914,0.0170828,0.0259088,0.00323633,0.0107151,0.0246873,0.00909183,0.0250955,0.0430412,0.00509747,0.0022008,0.0026562,0.00256976,0.0028246,0.00426205,0.00438273,0.00386134,0.00387327,0.00375223,0.002962
0,0.0625448,0.0203128,0.0403423,0.0056439,0.00575002,0.00188075,0.00293242,0.0145787,0.0395877,0.00678829,0.0105201,0.0198978,0.0681992,0.00165229,0.00303946,0.00223893,0.00110124,0.00559528,0.00741532,0.00511428,0.00635393,0.00435016,0.0256776,0.0433494,0.00573525,0.0216021,0.0110902,0.00189745,0.00554174,0.0350785,0.0112083,0.00681634,0.00826771,0.018129,0.0347262,0.011685,0.011474,0.0213022,0.0137729,0.0271343,0.0561112,0.00600204,0.0038895,0.00506028,0.00337209,0.00573595,0.00586055,0.0073186,0.00629066,0.0042332,0.00593348,0.00397167
1,0.0615632,0.0198514,0.0391828,0.00468609,0.00557983,0.00161946,0.00213066,0.0122448,0.0370047,0.0056791,0.00878817,0.0199024,0.0686248,0.00163412,0.00286609,0.00202697,0.00103203,0.00504858,0.00713742,0.00465517,0.00591191,0.00343582,0.0264996,0.0422563,0.00599904,0.0210425,0.0111657,0.00215842,0.00554001,0.0334572,0.0130606,0.00781261,0.00722236,0.0173261,0.0336193,0.00781505,0.0103631,0.0215641,0.0140522,0.0271155,0.0567529,0.00597818,0.00372966,0.00477004,0.00300568,0.00551263,0.00560646,0.00728257,0.00601538,0.00372698,0.00557729,0.00206908
2,0.0606853,0.0194766,0.0381827,0.00381511,0.00623844,0.00151684,0.00155088,0.00968366,0.0342145,0.00568526,0.00743117,0.0197723,0.0689131,0.00170915,0.00274801,0.00205038,0.00116767,0.00454444,0.00667525,0.0042764,0.00552107,0.00258722,0.026686,0.0410223,0.00631115,0.0206008,0.011299,0.00300661,0.00565487,0.0320495,0.0147301,0.00889677,0.0063717,0.0166332,0.0326706,0.00620287,0.00938866,0.0219806,0.0142784,0.0269115,0.0573113,0.00594934,0.00349413,0.00448916,0.00280689,0.00524611,0.00534544,0.00708033,0.00578572,0.00326069,0.00520373,0.0048568
3,0.0598797,0.0191342,0.0373875,0.00306597,0.0072071,0.00156174,0.00123851,0.00814038,0.0322144,0.00589458,0.00695801,0.019619,0.0690536,0.00182676,0.00267585,0.00215416,0.00145615,0.00410461,0.00617288,0.00400022,0.00519533,0.00181343,0.02582,0.0388142,0.00659076,0.0202718,0.0113944,0.00382179,0.00579712,0.0309945,0.0161144,0.0098861,0.00577329,0.0160866,0.0319172,0.00668693,0.00863534,0.0223737,0.0144751,0.0266066,0.057701,0.00590825,0.00322743,0.00448679,0.00277002,0.00498108,0.00513004,0.00676977,0.0056464,0.00287832,0.00485356,0.00750118
4,0.0591719,0.0188635,0.0368388,0.00245967,0.00814513,0.00169205,0.00114719,0.00778071,0.0311161,0.00555879,0.00720558,0.0195121,0.0691155,0.00195149,0.00263837,0.00236044,0.00178965,0.0037741,0.00574258,0.00381506,0.00494392,0.00123967,0.0242191,0.0357757,0.00680107,0.0200661,0.0114649,0.0044225,0.00592398,0.0303559,0.0171564,0.0106941,0.00541107,0.015708,0.0313864,0.0079157,0.00810983,0.0227055,0.0146365,0.026255,0.0578514,0.00587997,0.00297146,0.00453411,0.00279275,0.0047597,0.00505547,0.00660278,0.00544062,0.00262655,0.00455743,0.0093218
5,0.0587727,0.0186747,0.0365287,0.00207544,0.00885655,0.00177997,0.0011457,0.00799315,0.030637,0.00475647,0.00767596,0.0194311,0.0690474,0.00206334,0.00261658,0.00251032,0.00206433,0.00358986,0.00542794,0.00368952,0.00475043,0.00093477,0.0224201,0.032514,0.0069511,0.0199561,0.0115546,0.00479964,0.00601851,0.029906,0.017846,0.0112772,0.00524506,0.0154824,0.0310781,0.0087082,0.00779252,0.0229751,0.0147257,0.0259029,0.0578917,0.00583205,0.00280289,0.00456295,0.00289777,0.00461631,0.00497745,0.00644436,0.00522824,0.00248749,0.00436195,0.0100011
6,0.0587062,0.0185478,0.0364398,0.00194413,0.00928597,0.00181631,0.00111725,0.0082852,0.0304595,0.00390738,0.00803802,0.0193555,0.0688309,0.00212816,0.00258868,0.00259788,0.00226064,0.00351927,0.00524644,0.00361886,0.00461201,0.000858323,0.0208827,0.0296309,0.00703521,0.0199145,0.011501,0.00501258,0.00605961,0.0296407,0.0181906,0.0116057,0.00525036,0.0153159,0.0309821,0.00782392,0.00767421,0.0231806,0.0146862,0.025576,0.0577543,0.00577186,0.00272482,0.00461702,0.00295258,0.00455374,0.00484419,0.00632715,0.00509289,0.00244239,0.00426086,0.00955853
7,0.0587106,0.0184804,0.0365331,0.00203754,0.00947293,0.00176616,0.00101682,0.00850359,0.0303981,0.00324178,0.00822911,0.0192902,0.0685298,0.00212915,0.00253942,0.00268161,0.00236445,0.00339737,0.00518075,0.00358962,0.00452057,0.000806148,0.0198573,0.0275603,0.00703958,0.0199176,0.0115947,0.00512059,0.00602938,0.0296295,0.0182227,0.0116915,0.00537804,0.0151348,0.0310532,0.00629771,0.00772639,0.023336,0.0144748,0.0253089,0.0574399,0.00571426,0.00258385,0.00469472,0.00303912,0.0045388,0.00467306,0.00627286,0.00505511,0.00245888,0.00424059,0.00818111
8,0.0588278,0.018463,0.0367852,0.00228275,0.00946773,0.00168931,0.000868359,0.00862802,0.0303757,0.0029208,0.0082876,0.0192432,0.0681707,0.00206928,0.00245721,0.00270118,0.00238042,0.00338645,0.00522273,0.00359783,0.00449941,0.000828128,0.0193918,0.0265038,0.0070231,0.0199603,0.011712,0.00514534,0.00596544,0.0297943,0.0180318,0.0115738,0.00561629,0.0151402,0.0312584,0.00484078,0.00788099,0.0234265,0.0141996,0.025114,0.0570069,0.00566874,0.0025493,0.00476729,0.00310502,0.00454795,0.00461192,0.00630401,0.00509632,0.00248894,0.00429997,0.00624215
9,0.0591849,0.0185128,0.0371059,0.00263887,0.00925292,0.00159955,0.00072735,0.00862881,0.0303256,0.00290663,0.00827354,0.0192375,0.0678141,0.00198332,0.00237777,0.00264121,0.00230294,0.00352917,0.00532117,0.00364132,0.0045477,0.00107989,0.0194104,0.0264384,0.00702843,0.0200186,0.0120734,0.0051165,0.00587519,0.0301067,0.0177029,0.0113046,0.00589393,0.0152933,0.0315303,0.00438266,0.00807873,0.023473,0.0139,0.0250208,0.0565624,0.00563335,0.00266113,0.00481597,0.00316586,0.00457127,0.00461743,0.00636524,0.00519542,0.00252998,0.00441157,0.00418436
10,0.0596782,0.0185751,0.0374235,0.00302944,0.00886962,0.00151788,0.000633772,0.00850676,0.0302435,0.00323502,0.00819331,0.0192686,0.067456,0.00189768,0.00231452,0.00252225,0.00216283,0.00373682,0.00543529,0.00370186,0.00464471,0.00137551,0.0197975,0.0271773,0.00705944,0.0200706,0.0124226,0.00505418,0.00574468,0.0305186,0.0172872,0.0109731,0.00617849,0.015544,0.0318048,0.00519011,0.00827199,0.0234747,0.0136191,0.025014,0.0560951,0.00562342,0.00272164,0.00481333,0.00312569,0.00460418,0.00465539,0.00657179,0.00530529,0.00260407,0.00453499,0.00230991
11,0.0597371,0.0186617,0.037696,0.0033664,0.00841094,0.00146629,0.00060262,0.00828641,0.0301529,0.00389163,0.00805122,0.0192622,0.0672185,0.00181596,0.00225443,0.00239723,0.00198254,0.00380423,0.00558258,0.00378071,0.00475621,0.00167941,0.0204389,0.0284544,0.00711119,0.0201339,0.0126956,0.004946,0.00565599,0.0309802,0.0168119,0.0106596,0.0064154,0.0158819,0.0320281,0.00629453,0.00842826,0.0234451,0.0134292,0.0250721,0.0557264,0.0056344,0.00273223,0.00477728,0.00306766,0.00463125,0.00470723,0.00667373,0.00539977,0.00268187,0.00463793,0.00111098
12,0.0599449,0.01873,0.0378648,0.0035838,0.00810753,0.00145211,0.000614843,0.00803092,0.0300851,0.00470134,0.00787351,0.0192457,0.0671766,0.00175642,0.00223545,0.00228802,0.00180781,0.00389935,0.00571484,0.00383336,0.00484933,0.00194294,0.0211894,0.0299133,0.00716701,0.0202112,0.0128766,0.00476201,0.0056224,0.0315163,0.0162838,0.0104059,0.00656691,0.0160353,0.0321691,0.00697299,0.00850399,0.0233938,0.0133838,0.0251939,0.055466,0.00564503,0.00273776,0.00471825,0.00290616,0.00463732,0.00474423,0.00679221,0.00545803,0.00273756,0.00469325,0.00081842
13,0.0599305,0.0187606,0.0378988,0.00363537,0.00797712,0.0014767,0.000639037,0.00784569,0.0300407,0.00538875,0.00773977,0.0192673,0.067192,0.00172137,0.00224929,0.00220709,0.00171772,0.00407116,0.00577681,0.00385485,0.0049172,0.00211189,0.0218808,0.0311681,0.00720204,0.020286,0.0128739,0.00450395,0.0056131,0.0320092,0.0156986,0.0102525,0.00658522,0.0160435,0.032171,0.00697954,0.00848244,0.0233122,0.0134631,0.0253488,0.055341,0.00564555,0.00275245,0.00464453,0.00280832,0.00462278,0.00476399,0.00675055,0.00547734,0.00275646,0.00470961,0.000998569
14,0.0596627,0.0187741,0.0377887,0.00348962,0.0080486,0.00150288,0.000664612,0.00780471,0.0299897,0.00573195,0.00780897,0.0193237,0.0674032,0.00171472,0.00228143,0.00215568,0.0016674,0.00413122,0.00579005,0.00385839,0.00494018,0.00216476,0.0223124,0.0319069,0.00720066,0.0203359,0.0126179,0.00417671,0.00562538,0.0322146,0.0151529,0.0102288,0.00646386,0.0159759,0.0320317,0.00638975,0.00836962,0.0232453,0.0136012,0.0255039,0.0553864,0.00563752,0.00278046,0.00459699,0.00277259,0.00459703,0.00475693,0.00665608,0.00544953,0.00274854,0.00467954,0.00175203
15,0.0594041,0.0187276,0.0375668,0.00316506,0.0082039,0.00151989,0.000714345,0.00791451,0.0299179,0.00556223,0.00793818,0.0193847,0.0677246,0.00171455,0.00231006,0.00213713,0.00166935,0.0041064,0.0057519,0.00381381,0.00495855,0.00198334,0.02229,0.0319036,0.00719069,0.020369,0.0123136,0.00381516,0.00568559,0.0324439,0.0147224,0.0103402,0.00623178,0.0158794,0.0318071,0.00560741,0.00820347,0.0231906,0.0137961,0.0256275,0.055494,0.00562022,0.0028294,0.00457002,0.00276456,0.00454075,0.00472312,0.00654868,0.0053693,0.0027202,0.00459977,0.00324623
16,0.0591647,0.0186476,0.0372711,0.00272008,0.00844088,0.00150253,0.000769862,0.00812145,0.0299502,0.00490186,0.00806334,0.01943,0.0681315,0.00170958,0.00232751,0.00213249,0.00172378,0.0040864,0.00565967,0.0037169,0.0050356,0.00159247,0.0217001,0.0309765,0.00715582,0.0203913,0.0119605,0.00344918,0.00581958,0.0326765,0.0144156,0.0105521,0.00590557,0.0157602,0.0315248,0.00525606,0.00800375,0.0231566,0.014046,0.0257179,0.0557426,0.00558688,0.00285613,0.00456001,0.00280011,0.00446463,0.00469227,0.00636206,0.00524034,0.00266568,0.0044696,0.00514564
17,0.0588214,0.0185484,0.0369528,0.00224132,0.00876119,0.00149239,0.000807644,0.0082915,0.0303329,0.00407875,0.00813373,0.0194644,0.0685831,0.00169665,0.00232631,0.00213921,0.00180278,0.00407012,0.00554275,0.00359425,0.00509533,0.00116079,0.0206575,0.0293121,0.007093,0.0204059,0.0115515,0.00311221,0.00602853,0.0328631,0.0141905,0.01082,0.00557168,0.0156311,0.0312449,0.00566913,0.00779447,0.023129,0.0143332,0.0257903,0.0560482,0.00553509,0.00285468,0.00455006,0.00284517,0.00438688,0.00464928,0.00630123,0.00508275,0.00257764,0.00432113,0.00696761
18,0.0582754,0.0184696,0.0366712,0.00185862,0.0090956,0.00148133,0.000811742,0.00831433,0.030834,0.00355496,0.00809712,0.0194982,0.0690303,0.00166414,0.00233026,0.00215867,0.00191119,0.00378392,0.00542805,0.00347013,0.0047862,0.000944411,0.0194002,0.0274024,0.00705787,0.0204318,0.0111936,0.00279141,0.00626058,0.0330522,0.0139725,0.0110696,0.00529506,0.0155253,0.030995,0.00635328,0.00760656,0.0230506,0.0145499,0.0258424,0.0563949,0.00548938,0.00283998,0.00452983,0.0029505,0.00431357,0.00459881,0.00620107,0.0048667,0.00250901,0.00418387,0.00829506
19,0.0577653,0.0184065,0.036476,0.0016337,0.00927497,0.00146379,0.000779141,0.00818564,0.0312766,0.00357902,0.00795422,0.0195423,0.0693659,0.00161719,0.00233963,0.0021721,0.00197132,0.00351551,0.00533543,0.00336842,0.00456827,0.000900785,0.0181052,0.0258084,0.00703062,0.0204531,0.0109508,0.00240498,0.00643207,0.0333336,0.0136535,0.0112936,0.00509351,0.0155432,0.030807,0.00664621,0.0074828,0.0229142,0.0146445,0.0258673,0.0566704,0.00544191,0.00284169,0.00450094,0.00291757,0.00424832,0.00456301,0.00624865,0.004642,0.00246755,0.00408244,0.00878573
20,0.0582451,0.0183996,0.0363946,0.00162342,0.00924409,0.00139407,0.000717535,0.00802107,0.0316155,0.00384376,0.00773697,0.019561,0.0695765,0.00153894,0.0023308,0.00205762,0.00194579,0.00344359,0.00531245,0.00333138,0.00454017,0.000924245,0.0171383,0.0249542,0.00695804,0.0204877,0.0108888,0.0020635,0.00646961,0.0337806,0.0131696,0.0113287,0.00499327,0.0157294,0.0307219,0.00628393,0.00743429,0.0229332,0.014571,0.0258884,0.0568715,0.00540271,0.00286259,0.00446961,0.00286348,0.00420565,0.0045193,0.00619216,0.0046148,0.00244371,0.00404074,0.00836049
21,0.0589334,0.0184571,0.0364584,0.00183865,0.00904887,0.00131973,0.000707556,0.00793968,0.0318578,0.00403341,0.00752006,0.0195856,0.0696243,0.00145815,0.00229905,0.00192278,0.00182685,0.00349542,0.00538223,0.00334075,0.00458817,0.00106977,0.0168482,0.0249814,0.00685243,0.020573,0.0110069,0.00171997,0.0063892,0.0343584,0.0125579,0.0111482,0.00502217,0.015874,0.0307598,0.00556418,0.00747677,0.0227823,0.0143609,0.0259303,0.0569077,0.00539637,0.0028542,0.00443644,0.00287911,0.00420582,0.00451726,0.00612895,0.00453691,0.00245037,0.00407397,0.00711178
22,0.0590546,0.0185746,0.0366613,0.00221711,0.00862988,0.00127604,0.000839668,0.00800642,0.032048,0.00405133,0.0073248,0.0195979,0.0694687,0.00139471,0.0022832,0.00177988,0.00164818,0.00361253,0.00555077,0.00340132,0.00468094,0.00142605,0.0172396,0.0257976,0.00672676,0.0206554,0.0112427,0.00152033,0.00620223,0.0349887,0.0118793,0.0108147,0.00515297,0.0160145,0.0309203,0.00521793,0.00761108,0.0227543,0.014104,0.0260063,0.056705,0.0054199,0.00275276,0.00438515,0.00285593,0.00425167,0.00460274,0.00611608,0.00464858,0.00250689,0.00417839,0.00539801
23,0.0592431,0.018743,0.0369396,0.00271585,0.00811443,0.00129093,0.00107945,0.008162,0.0321724,0.00393821,0.0072096,0.0196345,0.0691989,0.00136323,0.00230121,0.00164082,0.00141751,0.00379308,0.00578428,0.00350019,0.00486095,0.00187191,0.0181155,0.0271644,0.00659626,0.0207393,0.0115547,0.00148499,0.00596407,0.0355826,0.0112607,0.0103672,0.00535273,0.0161746,0.0311592,0.00573796,0.00782361,0.0227885,0.0138937,0.0261298,0.0564414,0.00547242,0.00262715,0.00434393,0.00284083,0.00433939,0.00475331,0.00614096,0.00490455,0.00261206,0.00432446,0.00353038
24,0.0596137,0.0188884,0.0372044,0.00333117,0.0076852,0.00136584,0.00133322,0.0082638,0.0322039,0.00379592,0.00712773,0.0196915,0.0688627,0.00136667,0.00233988,0.00154594,0.001201,0.004058,0.00602834,0.00360424,0.00515155,0.00230314,0.0191524,0.0286902,0.00638829,0.0208203,0.0119516,0.00154622,0.00576399,0.0360721,0.0108019,0.00990721,0.00557116,0.0162751,0.0314092,0.00670523,0.00804054,0.0225476,0.0137261,0.0262594,0.0561636,0.00553775,0.00292487,0.00431451,0.00277731,0.00443979,0.00485357,0.00630007,0.00498364,0.00276383,0.0044937,0.00195833
25,0.0600344,0.0189974,0.0373965,0.00409722,0.00734193,0.00141809,0.00151666,0.00823204,0.0321687,0.00370712,0.00701869,0.0197114,0.0685523,0.00140016,0.00236734,0.00151064,0.00103649,0.00432472,0.00622654,0.00367922,0.00543369,0.00261081,0.0199663,0.0298812,0.00627214,0.0208936,0.0124012,0.00163646,0.00572421,0.0363579,0.0105692,0.00952878,0.0057412,0.0162294,0.0316004,0.00743851,0.00821941,0.022459,0.0136233,0.0263564,0.055951,0.00560024,0.00314389,0.00431093,0.00273494,0.00453625,0.00497336,0.00644135,0.00513829,0.00288853,0.00463678,0.00135364
26,0.0601336,0.0190693,0.0374622,0.00438906,0.00714908,0.00144873,0.00158001,0.0080923,0.0320972,0.00360224,0.00690099,0.0197012,0.0683271,0.00144634,0.00239654,0.00164865,0.000921578,0.00427171,0.00633825,0.00370177,0.00531093,0.0026869,0.0202605,0.0302969,0.00626236,0.0209442,0.0125952,0.00173034,0.00566351,0.036393,0.0105779,0.00931977,0.00580607,0.0162394,0.0316805,0.00754341,0.00831201,0.0225457,0.0135836,0.0264019,0.0558041,0.00564263,0.00320814,0.00431443,0.00274032,0.00461478,0.00506967,0.00660163,0.00533158,0.00294341,0.00472765,0.00144524
27,0.0599964,0.0190894,0.0373817,0.00421838,0.00715085,0.00140733,0.00152798,0.00789417,0.0320197,0.00341234,0.00679354,0.0196816,0.0682126,0.00150269,0.00256958,0.00190959,0.000865856,0.0041383,0.00632235,0.00367266,0.0051641,0.00250173,0.0199708,0.0297785,0.00621509,0.02095,0.0124757,0.00179412,0.00561247,0.0362014,0.0107999,0.00931197,0.00573607,0.0163166,0.0316358,0.0069926,0.00828999,0.0223998,0.0136373,0.026367,0.0558226,0.00565148,0.00320812,0.00432944,0.00280871,0.00464342,0.00510817,0.00668336,0.00525235,0.00291416,0.00473597,0.0020098
28,0.05986,0.0190269,0.0371666,0.00384926,0.00727839,0.00130073,0.00141911,0.00770435,0.0319852,0.00321858,0.00671854,0.0195271,0.0681579,0.00155111,0.00297605,0.00192527,0.000875078,0.00398155,0.00621737,0.00357287,0.00501837,0.00208141,0.019164,0.0284555,0.00610863,0.0209166,0.0121124,0.00174616,0.00563619,0.035876,0.0111882,0.00950659,0.00554379,0.0162494,0.0314831,0.00606583,0.00814709,0.0224473,0.0137606,0.0262563,0.0559413,0.00564368,0.00317431,0.00436022,0.00284277,0.00463369,0.00509061,0.00674729,0.00519298,0.00285008,0.00466943,0.003057
29,0.0597713,0.0189338,0.0368514,0.00346963,0.00749926,0.00113875,0.00132973,0.00749474,0.0320122,0.00315812,0.00664088,0.0191918,0.0682093,0.00161141,0.00312578,0.00198047,0.000950061,0.00391484,0.00602089,0.00345769,0.00500845,0.00153869,0.0180384,0.0266293,0.00607914,0.0208597,0.0118787,0.00170961,0.00571466,0.0354861,0.0116499,0.00982925,0.00528321,0.0160255,0.0312315,0.00533508,0.00794152,0.0227842,0.0138873,0.0261117,0.0561746,0.00562646,0.00311907,0.00438771,0.00291883,0.00458567,0.00500735,0.00665729,0.00525282,0.00278855,0.0045706,0.00446696
30,0.0595591,0.0188494,0.036492,0.00312627,0.00806404,0.00101075,0.00130443,0.00725361,0.0320729,0.00336371,0.00656004,0.0190833,0.0683425,0.00168012,0.00309161,0.00186071,0.00109421,0.00400707,0.0057675,0.00332512,0.00513408,0.00103359,0.0168162,0.024648,0.00611834,0.0207457,0.0118402,0.00171007,0.00579244,0.0351278,0.0120905,0.0101956,0.00500003,0.0156714,0.0309476,0.00527607,0.00771977,0.0230289,0.0140195,0.0259422,0.0564349,0.00561553,0.00305688,0.00440738,0.00295381,0.00452158,0.00493731,0.0066348,0.00522121,0.00270991,0.00447183,0.00616506
31,0.0592797,0.0187709,0.0361676,0.0025965,0.00850173,0.000953806,0.00135004,0.00698347,0.0321355,0.00374919,0.00650157,0.0190734,0.0684535,0.00174659,0.00305924,0.00193824,0.00127971,0.00392119,0.0055514,0.00320173,0.00504747,0.000600392,0.0157008,0.0228227,0.00616829,0.0205804,0.0117529,0.00167521,0.00587807,0.0349435,0.012418,0.010532,0.00475455,0.0153805,0.0306716,0.00564919,0.00751142,0.0231709,0.0141307,0.0257635,0.0567484,0.00559758,0.00301928,0.00442029,0.00302233,0.00445972,0.00488049,0.00666405,0.00509966,0.00263081,0.00437148,0.00742653
32,0.0590407,0.0187229,0.0359007,0.00179732,0.00879772,0.000943128,0.00140811,0.00672663,0.0321867,0.00415661,0.0064651,0.0190284,0.0686178,0.00180098,0.00305091,0.00206031,0.00142189,0.00376818,0.00535185,0.00311274,0.00488721,0.000334307,0.014842,0.021346,0.00620853,0.0204697,0.0116665,0.00159578,0.00597939,0.0350482,0.0125485,0.0107865,0.00458216,0.01533,0.0304428,0.00578101,0.00734332,0.0232941,0.0141483,0.0255917,0.0570146,0.00556658,0.00298209,0.0044348,0.00302644,0.0043961,0.00482975,0.00664348,0.00500516,0.00257121,0.00429611,0.00783255
33,0.0589309,0.0186775,0.0357099,0.00159603,0.0089925,0.000957451,0.00142961,0.00653073,0.032202,0.00447139,0.00644701,0.0190276,0.068866,0.00182951,0.00304017,0.00214617,0.00155647,0.00365407,0.00519609,0.00305102,0.0047706,0.000223084,0.0142544,0.0203156,0.00621186,0.0203892,0.0116657,0.00149387,0.00603503,0.0352255,0.0124693,0.0109421,0.0044832,0.015083,0.0302682,0.00532548,0.00720301,0.0234166,0.0140657,0.0254168,0.0572558,0.00552489,0.00295375,0.00445025,0.00299767,0.00434838,0.00477302,0.00660403,0.00495489,0.00253659,0.00426308,0.00732309
34,0.0589741,0.0186463,0.0355977,0.00178371,0.00908321,0.000945072,0.00141123,0.00640753,0.0321869,0.00467085,0.00640557,0.0190589,0.0692386,0.0018244,0.00301443,0.00217785,0.00164424,0.00359697,0.00509677,0.0030032,0.00473041,0.000112062,0.0139381,0.0197048,0.00616579,0.0203075,0.0117685,0.00137703,0.00603778,0.0354524,0.0122272,0.0110177,0.00443604,0.0149421,0.0301472,0.00448694,0.00709431,0.023558,0.0138769,0.0252579,0.057421,0.00549316,0.00292387,0.00445259,0.00297213,0.00431181,0.00473459,0.00646925,0.00495261,0.00252546,0.00426568,0.00611149
35,0.0589587,0.0186115,0.0355481,0.00208012,0.00909686,0.000927455,0.00139481,0.00634273,0.0321607,0.00475793,0.0064006,0.0190599,0.0694363,0.00179363,0.00299061,0.00217535,0.0016937,0.00346993,0.00502633,0.00294652,0.0045862,0.000235557,0.0138497,0.0194115,0.00611166,0.0202194,0.0119308,0.00126099,0.00600171,0.035779,0.0118977,0.0110309,0.00442143,0.0149474,0.0300682,0.00394594,0.0070192,0.0236881,0.0136024,0.0251312,0.0575279,0.00546627,0.00289054,0.00444097,0.00301083,0.0042851,0.00470042,0.0064472,0.00497814,0.00251558,0.00427935,0.00454941
36,0.0588555,0.0185876,0.0355565,0.00234114,0.00909483,0.000910253,0.00141393,0.00633445,0.0321324,0.0047751,0.00640704,0.0190767,0.0694692,0.00176412,0.00296106,0.00213615,0.0017359,0.00324454,0.00496801,0.00287844,0.00428743,0.000473378,0.0138012,0.0193318,0.00611226,0.0201442,0.0120916,0.00115515,0.00594151,0.0360955,0.0115644,0.0110055,0.00443422,0.0150026,0.030029,0.00428086,0.00697905,0.0237894,0.0133373,0.0250475,0.0576265,0.0054507,0.0028582,0.00441919,0.0030426,0.00427854,0.00469397,0.00639853,0.00498691,0.00250915,0.00429897,0.00299526
37,0.0587947,0.0185753,0.0355964,0.00254249,0.00910915,0.000899973,0.00144114,0.00637276,0.0321001,0.00475888,0.00637156,0.0191394,0.0694271,0.00173392,0.00293339,0.00203533,0.0017776,0.0031647,0.00493526,0.00283673,0.00416338,0.000678734,0.0137401,0.0193974,0.00612049,0.0200791,0.0122346,0.00108585,0.00587217,0.0363347,0.0112767,0.0109421,0.00447553,0.015064,0.0300338,0.00511217,0.00697017,0.0237483,0.0131233,0.0249991,0.0576834,0.0054145,0.0027891,0.00439429,0.00305609,0.0042769,0.00478355,0.00636297,0.00494077,0.0025057,0.00432307,0.00173878
38,0.0587938,0.0185923,0.035651,0.00266867,0.00902789,0.00090757,0.00143856,0.0064203,0.0320693,0.00470339,0.00632949,0.01915,0.0693414,0.00169078,0.0029185,0.00187935,0.00178283,0.00318826,0.00491271,0.00281139,0.00417555,0.000799875,0.0137667,0.0195505,0.00611015,0.0200484,0.0123312,0.00105023,0.00583904,0.0365307,0.011063,0.01083,0.00450318,0.0151133,0.0300472,0.00575797,0.00697394,0.0235072,0.0129965,0.024989,0.0577082,0.00533345,0.00281157,0.0043677,0.00302064,0.00426341,0.00479644,0.00633259,0.00483653,0.00249694,0.00433382,0.0011471
39,0.058995,0.0186097,0.0356946,0.00268454,0.00895735,0.000932673,0.00139202,0.00644021,0.032033,0.00464054,0.00638733,0.0191633,0.0692151,0.00163669,0.0029373,0.00189815,0.00177541,0.00320894,0.00488699,0.00280612,0.00419074,0.000844243,0.0138274,0.0197264,0.00613449,0.0200374,0.0123621,0.00102138,0.00585159,0.0366149,0.010935,0.0106586,0.00453025,0.0151561,0.0300723,0.00591466,0.00698086,0.0233773,0.0129604,0.0250483,0.0576288,0.00517931,0.00280831,0.00433893,0.00295212,0.00423473,0.00476702,0.00628136,0.00484864,0.00250561,0.00432021,0.00106716
40,0.0593216,0.0186008,0.0357151,0.00257581,0.00886705,0.000980438,0.001286,0.00645295,0.0319887,0.00460603,0.00648092,0.0192257,0.0690542,0.0015814,0.00298423,0.0020367,0.00176829,0.00315885,0.00485575,0.00283547,0.0041987,0.000796454,0.0138566,0.0198763,0.00618281,0.0200264,0.0123538,0.00100231,0.00587239,0.0365559,0.0109117,0.0105596,0.00456423,0.0152018,0.030098,0.00557974,0.00700083,0.0233606,0.0129731,0.0251551,0.0574913,0.00508449,0.00286887,0.00429974,0.00288263,0.00419955,0.00472834,0.00626998,0.00470538,0.00250677,0.00429077,0.00146285
41,0.0591534,0.0185862,0.0357454,0.00238982,0.00873454,0.00102578,0.00115878,0.00646646,0.0319496,0.00459436,0.00656192,0.0193339,0.0688833,0.00154748,0.00303827,0.00194932,0.00179738,0.00304915,0.00482251,0.00286433,0.00420725,0.000666978,0.0138407,0.0200053,0.00624796,0.0200192,0.0123088,0.00100964,0.00594973,0.0364434,0.0109712,0.0105611,0.00458159,0.0152507,0.0301263,0.00497016,0.00703016,0.0234194,0.0131245,0.0252863,0.0573056,0.00502537,0.00287503,0.00426843,0.00281097,0.00415691,0.0047174,0.0062267,0.00467219,0.00250061,0.00423168,0.00241007
