Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,l_IC,r.ASIS,r.PSIS,r_5meta,r_IC,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
574,0.0682833,0.0240103,0.0379339,0.000707321,0.00464588,0.000755574,0.000847749,0.00248644,0.0312554,0.00628225,0.00303483,0.0198096,0.0329076,0.00587401,0.000484033,0.00150691,0.00139564,0.00355348,0.00397214,0.00337211,0.00414973,0.000809142,0.00811113,0.0176153,0.00635874,0.0185143,0.0136507,0.00367573,0.00506117,0.0314518,0.0136369,0.00247079,0.00636396,0.0186875,0.0320368,0.00131809,0.00741899,0.0254514,0.00888907,0.0256851,0.0305095,0.00386465,0.00174908,0.00127436,0.00126649,0.00155885,0.00209993,0.00196234,0.00111195,0.0011191,0.00111829,0.00254593
575,0.0683673,0.0240306,0.0380362,0.000812387,0.00474318,0.000762555,0.000821101,0.0025235,0.0313338,0.00614097,0.00311188,0.019804,0.0329577,0.00583749,0.000314055,0.00135941,0.00129781,0.0036299,0.00405288,0.00341721,0.00414881,0.00065702,0.00795404,0.0180255,0.00647294,0.0184891,0.0135134,0.00368944,0.00516169,0.031238,0.013761,0.00251165,0.00644441,0.0187369,0.0321244,0.00111466,0.00750911,0.0253359,0.00895284,0.0258166,0.030349,0.00379692,0.00169834,0.00118434,0.00123611,0.00148069,0.00215424,0.00249024,0.0011516,0.00117155,0.00112364,0.00238111
576,0.0684319,0.0240459,0.0381215,0.000916188,0.00481875,0.000783131,0.000834604,0.00255665,0.0313452,0.00600182,0.00318645,0.0197942,0.0330442,0.00582605,0.000169969,0.0011883,0.00117423,0.00369703,0.00411324,0.00346893,0.0041522,0.000491249,0.00782147,0.0184622,0.00657266,0.0184849,0.0134012,0.0037162,0.00526323,0.031077,0.0138334,0.00254545,0.00653549,0.0187947,0.0322028,0.000919917,0.00759845,0.0252311,0.00911334,0.0259417,0.0301916,0.00373599,0.0016716,0.00112656,0.00114365,0.00143012,0.00223321,0.00256416,0.00119476,0.00124143,0.00112424,0.00238942
577,0.0684772,0.0240602,0.0381935,0.00101974,0.00486891,0.000831183,0.000880286,0.002576,0.0313344,0.00587348,0.00323312,0.0198024,0.0331591,0.00582263,4.55781e-05,0.00131632,0.00105891,0.00372388,0.00412459,0.00348535,0.00415073,0.00038589,0.00772842,0.0187699,0.00665285,0.0184907,0.0133249,0.00373582,0.00536179,0.0310081,0.0138272,0.00257546,0.00660493,0.0188337,0.0322682,0.000885236,0.00768095,0.0251563,0.0092809,0.026057,0.0300614,0.00370041,0.0016543,0.00108484,0.00109748,0.00139508,0.00227996,0.0024913,0.00121431,0.00130564,0.00111577,0.00252705
578,0.068545,0.0240347,0.0382664,0.00112836,0.00487034,0.000886155,0.000981798,0.00257622,0.0313111,0.00577152,0.0032864,0.0198009,0.0333273,0.00584983,0.000132,0.00147424,0.000982417,0.00373413,0.00415919,0.00341109,0.00412297,0.000306868,0.00767559,0.0189189,0.00669228,0.0185051,0.0132337,0.00370259,0.00547023,0.0310297,0.0137295,0.00259284,0.00664422,0.0188459,0.0323051,0.000994891,0.0077346,0.0251127,0.00940821,0.0261357,0.0298708,0.0037047,0.00163478,0.00106208,0.00105119,0.00135967,0.00228482,0.00228729,0.00119069,0.00132197,0.00109241,0.00264976
579,0.0686472,0.0239716,0.0383125,0.00125958,0.00485397,0.000938914,0.00112141,0.00255356,0.0312617,0.00569282,0.0033391,0.0198062,0.0334917,0.00588257,0.00025872,0.00163297,0.000955264,0.00371724,0.0041698,0.0031955,0.00406472,0.000250923,0.0076646,0.0189112,0.00669681,0.0185164,0.0132384,0.00361915,0.00554522,0.0311535,0.0135197,0.00258058,0.00664914,0.0188358,0.0323129,0.00109232,0.007735,0.0250663,0.00949278,0.0261158,0.0297318,0.00373826,0.00165274,0.00106739,0.00110648,0.00134324,0.0022669,0.002143,0.00114313,0.00130789,0.00104658,0.00252716
580,0.0686046,0.023919,0.0382957,0.00138051,0.00480414,0.000972858,0.00111184,0.00251342,0.0311681,0.00565974,0.00337214,0.0197783,0.0336447,0.00593912,0.000362159,0.00164085,0.0009863,0.00369845,0.00413499,0.00305566,0.003995,0.00026497,0.00768946,0.0187409,0.00668217,0.0185197,0.0132509,0.00348571,0.00558508,0.0314071,0.0132212,0.00253166,0.00664075,0.0188036,0.0322842,0.00115356,0.00767918,0.0250681,0.00954031,0.0260293,0.0295678,0.00378348,0.00169302,0.00109832,0.00122961,0.00136163,0.00223454,0.00229847,0.00108646,0.00126297,0.000981128,0.00223148
581,0.0683842,0.0238531,0.0382309,0.00145955,0.00471942,0.000989447,0.00104567,0.00247172,0.0310608,0.0056848,0.003398,0.0196818,0.0337613,0.00602586,0.000442673,0.00153744,0.00103426,0.00366388,0.00404017,0.00297574,0.00393375,0.000285242,0.00775338,0.01841,0.00662424,0.018518,0.0132536,0.00324877,0.00560429,0.0317532,0.0128373,0.00246029,0.00660203,0.0187456,0.0322069,0.00126567,0.00759937,0.0251637,0.00954264,0.0260876,0.0294522,0.00383292,0.00174522,0.00116371,0.00145757,0.00140145,0.0021527,0.00254342,0.00101923,0.00118789,0.000919128,0.00212062
582,0.0679913,0.0237853,0.0381516,0.00149533,0.00460099,0.00100306,0.000999426,0.00244562,0.0309974,0.00573657,0.00342376,0.0195271,0.0338914,0.00611958,0.000525626,0.00145297,0.00110021,0.00358852,0.00395005,0.00291049,0.00385259,0.000635663,0.00788944,0.0179738,0.00654071,0.0185124,0.0133746,0.00302046,0.00561209,0.0321636,0.0123972,0.00237467,0.00655981,0.0186643,0.0320995,0.00149429,0.00749928,0.0252757,0.00950354,0.0260933,0.0293357,0.00391671,0.00181884,0.00124862,0.00147628,0.00147523,0.00204199,0.00250557,0.000939196,0.00111017,0.000872411,0.00216147
583,0.0676003,0.0237523,0.0380554,0.001509,0.00446534,0.00100775,0.000953017,0.00246074,0.0310197,0.00580985,0.00347529,0.0196134,0.0339667,0.0062088,0.000594019,0.00140773,0.00115446,0.003498,0.0038615,0.00281632,0.00374178,0.00146415,0.00808383,0.0174981,0.00642652,0.0185161,0.013666,0.00281921,0.00565538,0.0326015,0.0119444,0.00230559,0.00651318,0.0185695,0.0319773,0.00178217,0.00733133,0.0253747,0.00945657,0.0260296,0.0292975,0.00402092,0.00190146,0.00133902,0.00158318,0.00156867,0.00193156,0.00232867,0.000864813,0.00103968,0.000823023,0.00230682
584,0.0673859,0.0237188,0.0379405,0.00154983,0.00433286,0.00101446,0.000920757,0.00251082,0.0309941,0.00590575,0.00353376,0.0196674,0.033954,0.00629596,0.00062653,0.00140776,0.00121241,0.00342955,0.00376603,0.0027194,0.00364458,0.000691383,0.00828348,0.0170667,0.00630146,0.0185303,0.0140625,0.00264761,0.00565811,0.0330186,0.0115211,0.00226008,0.00642169,0.0184766,0.0318665,0.00199828,0.00709806,0.0254749,0.00938207,0.0259361,0.0293215,0.00411567,0.00198696,0.00142561,0.00177182,0.00165151,0.00182466,0.00238906,0.000804073,0.000974227,0.00078967,0.00247708
585,0.0672811,0.0236812,0.0378297,0.00159578,0.00423213,0.00102924,0.000929683,0.00256578,0.030978,0.00599509,0.00353218,0.019648,0.033876,0.00635783,0.00062608,0.00141274,0.00127363,0.00335428,0.00367743,0.0026338,0.00358993,0.000611945,0.00843947,0.0167474,0.00620161,0.0185454,0.0143449,0.00252208,0.00556475,0.0333661,0.0111984,0.00222372,0.00632406,0.0184033,0.031774,0.00206412,0.00694272,0.0255661,0.00929889,0.025844,0.0293096,0.00416121,0.00205728,0.00150076,0.00177758,0.00170932,0.00174852,0.00229487,0.000777395,0.000932623,0.000788764,0.00260442
586,0.0672497,0.0236738,0.0377378,0.00162632,0.00418586,0.00103411,0.00098258,0.00260156,0.030981,0.00604986,0.00350047,0.019561,0.0337391,0.00637943,0.000610954,0.0014108,0.00133748,0.003294,0.00362157,0.00257206,0.00355725,0.000677667,0.00854554,0.0165613,0.00616469,0.0185471,0.0144241,0.00245432,0.00539593,0.03357,0.0110036,0.00217933,0.00625979,0.0183553,0.0317005,0.00195797,0.00687256,0.0256257,0.00922874,0.0257677,0.0293159,0.00419348,0.00209581,0.00154949,0.00174963,0.00175025,0.0017101,0.00265019,0.00079695,0.000905692,0.000843415,0.00262565
587,0.0673253,0.0237043,0.0376736,0.00164533,0.00417145,0.00101753,0.00105127,0.00259697,0.030815,0.00607834,0.00345791,0.0194523,0.0335359,0.00637091,0.000587308,0.00127946,0.00138432,0.00323753,0.00357962,0.00253308,0.00354619,0.00188136,0.00858154,0.0165264,0.00615064,0.0185438,0.0143647,0.00244311,0.00530148,0.03362,0.0109617,0.00213081,0.00622274,0.0183263,0.0316665,0.0017272,0.00683404,0.025651,0.00920611,0.0257261,0.0292781,0.00420354,0.00209956,0.00155116,0.00169003,0.00177522,0.00169054,0.00281872,0.000851802,0.000897094,0.000938028,0.00260986
588,0.067508,0.0237472,0.037641,0.00166005,0.00418982,0.000995388,0.00109317,0.0025652,0.0308979,0.00608052,0.00338272,0.0195967,0.0332979,0.00633509,0.000546503,0.000929531,0.00140018,0.003199,0.00355822,0.00252408,0.0035862,0.00225945,0.00855495,0.0166387,0.00614301,0.0185401,0.0143086,0.00246656,0.00526731,0.0335237,0.0110777,0.0021113,0.00619898,0.0183196,0.0316716,0.00142145,0.00682889,0.0256421,0.00921962,0.0256975,0.0292819,0.00419362,0.00206818,0.00152518,0.00168719,0.00177188,0.00167606,0.00284558,0.000905008,0.000916526,0.000961335,0.00260055
589,0.0676318,0.023801,0.0376318,0.00167676,0.00426425,0.000953831,0.00107485,0.00252664,0.031034,0.0060708,0.00329002,0.0196981,0.033027,0.00625178,0.000494544,0.000821879,0.0013926,0.00316844,0.00357147,0.00255102,0.00362457,0.00161471,0.00846541,0.0168768,0.0061472,0.0185194,0.0142545,0.00254763,0.00524618,0.0333003,0.0112848,0.00212079,0.00621062,0.0183222,0.0316658,0.00113482,0.00685538,0.0255872,0.00922803,0.0256838,0.0292766,0.00416825,0.00201828,0.0014737,0.00177768,0.00174775,0.00168262,0.00274804,0.00096119,0.000963606,0.00107799,0.00255914
590,0.0677587,0.0238939,0.0376351,0.00169281,0.0043911,0.000919998,0.000998809,0.00250422,0.0311462,0.00607056,0.00317558,0.0197398,0.0327405,0.00614535,0.000448609,0.000987572,0.00136843,0.00315225,0.00359794,0.00261217,0.00365857,0.000870762,0.00834674,0.0172025,0.00615678,0.0184674,0.0141697,0.00270938,0.00520771,0.032991,0.0116161,0.00214542,0.00624746,0.0183293,0.0316617,0.000934133,0.00691541,0.0255362,0.00920181,0.025688,0.0292574,0.00412995,0.0019651,0.00140552,0.00167579,0.00171078,0.001709,0.00245259,0.00103885,0.00102904,0.00112063,0.00255362
591,0.0678782,0.0239916,0.037658,0.00171649,0.00451161,0.000876734,0.000906363,0.00252775,0.031255,0.00606749,0.00311132,0.0197699,0.0324165,0.00603092,0.00041302,0.00126307,0.00135529,0.00321379,0.00363691,0.00269095,0.0037196,0.00163353,0.00822666,0.0175955,0.00617553,0.0184424,0.0140602,0.00288483,0.00517971,0.0326264,0.0120477,0.00217803,0.00630524,0.0183624,0.0317389,0.000815,0.00699442,0.0254639,0.0091626,0.0256926,0.0292308,0.0040803,0.0018986,0.00133411,0.00139199,0.00167036,0.0017332,0.0026671,0.00113899,0.00112258,0.00112451,0.00260238
592,0.0679344,0.0240856,0.0376836,0.00171696,0.00461344,0.000852106,0.000823454,0.00260967,0.0313686,0.00604599,0.00309746,0.0198237,0.0320728,0.00590463,0.000413796,0.00124885,0.00133099,0.003238,0.00368808,0.00276178,0.00380673,0.00206756,0.00811234,0.0180061,0.00620614,0.0186346,0.0139425,0.00304207,0.00517269,0.03221,0.0125265,0.00225171,0.00635018,0.0184131,0.0317717,0.000737398,0.00707186,0.0253738,0.00910534,0.0257077,0.0292167,0.00401884,0.00182674,0.00127173,0.00119642,0.0016473,0.00178535,0.00320156,0.00124388,0.00119358,0.00121641,0.00255165
593,0.067833,0.0241413,0.0377165,0.00170194,0.00475079,0.000844173,0.000758399,0.00272453,0.031475,0.00603092,0.00309499,0.0198579,0.0318374,0.00575784,0.000448408,0.00149789,0.00129744,0.00324558,0.00373441,0.00280226,0.00391644,0.001467,0.00801279,0.0183902,0.00619167,0.0191465,0.0137535,0.00317995,0.00516162,0.0317908,0.0129838,0.0023392,0.00639716,0.0184612,0.031848,0.000667364,0.00720142,0.0252857,0.00902846,0.0257176,0.0291748,0.00396069,0.00175588,0.00123049,0.00110234,0.00163817,0.00185114,0.00401587,0.00134556,0.00124819,0.00132278,0.00240876
594,0.0678439,0.0242067,0.0377411,0.00166485,0.00491659,0.000834221,0.00071084,0.00283926,0.0315477,0.00603314,0.00310623,0.0198817,0.0316591,0.0056487,0.000517177,0.00165317,0.001285,0.0032444,0.00377725,0.00282205,0.00400299,0.000728232,0.00795889,0.0186932,0.00620543,0.0193319,0.0135083,0.00330162,0.00513194,0.0314261,0.0133578,0.00240131,0.00641807,0.0184887,0.0318206,0.000784216,0.00739475,0.0252231,0.00890096,0.0256996,0.0290959,0.00392721,0.00171823,0.00121809,0.00111569,0.00165492,0.00190986,0.00398809,0.00143232,0.00129309,0.0013859,0.00227183
595,0.0679155,0.0242445,0.0377345,0.00163112,0.00501037,0.000812158,0.000681638,0.00292959,0.0315771,0.00605033,0.00312952,0.0198916,0.0314849,0.00560437,0.000616705,0.00157844,0.00132039,0.00323911,0.00379861,0.00286391,0.0040575,0.00184016,0.00795152,0.018876,0.00622622,0.0192878,0.013431,0.00337992,0.00509368,0.0311489,0.013597,0.00245094,0.00643455,0.0184975,0.0318385,0.00107532,0.00749342,0.0251865,0.00877608,0.0256655,0.0291046,0.00394187,0.00170863,0.00122016,0.00123821,0.00167832,0.00192247,0.00413664,0.00147875,0.00137963,0.00141101,0.00225047
596,0.0679677,0.0242607,0.0377,0.00156202,0.00502519,0.000774208,0.00067407,0.00298002,0.0315819,0.00610674,0.00313284,0.0199004,0.0313385,0.00559855,0.000705316,0.00139878,0.00139297,0.00322626,0.00378103,0.00289961,0.00408252,0.00260585,0.00798143,0.0188936,0.00624914,0.0192016,0.0134737,0.00340633,0.00505847,0.0309782,0.0136916,0.00247381,0.00642908,0.0184805,0.0318876,0.00140435,0.00750353,0.0251889,0.00868377,0.025608,0.029113,0.0039735,0.00171649,0.00121632,0.00119589,0.00169747,0.00191,0.00391959,0.00150748,0.00139062,0.00146154,0.00229916
597,0.0679607,0.0242247,0.0376495,0.00146009,0.00501232,0.000726903,0.000684129,0.00298876,0.0315504,0.00622116,0.0031248,0.0199236,0.0312356,0.00564575,0.000763686,0.00162673,0.00146631,0.00320515,0.00373929,0.00290833,0.00408804,0.0021168,0.00804245,0.0187586,0.00629189,0.0191348,0.0134641,0.00336717,0.00503579,0.030994,0.0136399,0.002463,0.00640835,0.0184383,0.031822,0.00164902,0.00744996,0.0252321,0.00859181,0.0255439,0.0291113,0.00402888,0.00175111,0.00123826,0.00121445,0.0017203,0.00186642,0.00413466,0.0014949,0.00130666,0.00148215,0.00237706
598,0.0680584,0.0241556,0.0375826,0.00134762,0.00494826,0.000690992,0.000718957,0.00294785,0.0314291,0.00628732,0.00309274,0.0199442,0.0311485,0.00573698,0.000810753,0.00177045,0.00155158,0.0031553,0.00370115,0.00286519,0.00409899,0.000781301,0.00811483,0.0185148,0.00625927,0.0191178,0.0135465,0.003305,0.00504071,0.0311853,0.0134747,0.00242304,0.00638311,0.0183789,0.0318215,0.00176923,0.00737009,0.0253047,0.00853213,0.0255019,0.0290786,0.00411113,0.00179015,0.00127971,0.00114585,0.00174866,0.0018141,0.00430303,0.00145672,0.00123097,0.00145994,0.00244784
