time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.00610871,0.0551222,0.0791474,0.862038,1.02985,-0.325181,0.0363646,-0.114218,-0.0610356,2.01437,-0.688901,-0.927223,0.0617299,0.484817,0.0404311,-0.612331,0.305281,-0.540819,0.107924,0.145791,-0.303992,0.0234422,-0.113004,-0.390211,-0.222804,0.166605,1.77914,-0.696405,-0.149405,0.441843,0.706772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.943731,0,-0.243164,14.1596,-10.1356,10.833,-71.148,50.9283,-54.4327,0.00573589,0.272616,0
0.005,0.00306457,0.0667515,0.0853308,0.861371,1.02674,-0.325504,0.0704148,-0.132614,-0.0546169,2.08708,-0.661146,-0.925849,0.0617053,0.451939,0.0504082,-0.563912,0.342871,-0.44035,0.108336,0.145771,-0.316877,0.0109318,-0.139299,-0.397084,-0.212443,0.160164,1.70257,-0.650387,-0.158418,0.465198,0.686154,1.83466,2.32586,1.23667,-0.133348,-0.621577,-0.064627,6.81003,-3.67915,1.28375,14.5435,5.55112,0.274635,-0.00491548,-6.57562,1.99543,9.68383,7.51814,20.0937,0.0823324,-0.00395954,-2.57687,-2.50209,-5.25901,-1.3746,2.07224,-1.28824,-15.3131,9.20349,-1.80258,4.67095,-4.12361,70.2632,-207.476,26.9467,-21.1097,1638.98,462.061,176.589,-24.873,15.8271,-135.933,12.4013,-4.40368,-0.261559,-31.0678,47.1386,-14.4397,31.9349,-3.15589,28.114,-0.603792,96.7565,-159.957,-130.338,-157.987,-36.7004,25.8688,103.363,131.462,274.888,44.277,173.295,-53.192,-31.1949,41.1789,-2.71905,-3.44966,-7.97279,150.057,13.4662,104.239,-216.139,33.9606,139.504,-4.35432e-05,67.0554,17.2892,-47.4611,57.3296,-1.06224,-335.111,-6.1603e-05,56.9033,52.8696,-91.5568,-33.2051,-119.219,41.0775,218.462,-99.4722,91.1257,-162.397,250.26,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0489,0,-0.452782,3.22498,-8.26405,0.474966,-89.9513,230.501,-13.2478,0.00569349,0.270757,1717.24
0.01,0.0109081,0.0776009,0.0925436,0.860637,1.02355,-0.326026,0.108216,-0.150673,-0.0455922,2.1544,-0.632541,-0.920989,0.0616808,0.420737,0.0608176,-0.516679,0.381895,-0.339908,0.10037,0.145752,-0.328338,-0.00025695,-0.167883,-0.404787,-0.205062,0.15475,1.63147,-0.606857,-0.165153,0.484493,0.671792,1.5687,2.16988,1.44256,-0.146944,-0.638825,-0.104491,7.56031,-3.61182,1.80494,13.4628,5.72092,0.972157,-0.0049157,-6.24034,2.08188,9.44652,7.80479,20.0884,-1.59322,-0.00395984,-2.29236,-2.23775,-5.7168,-1.54063,1.47615,-1.08286,-14.2208,8.70613,-1.34695,3.85896,-2.87231,38.4968,-203.754,27.6792,11.7116,1489.96,455.7,138.022,-13.6117,9.61064,-125.795,11.4561,-3.36786,-0.244208,-20.2356,29.5311,6.21951,9.07785,-17.9136,52.7665,-0.659807,83.8315,-174.841,-105.347,-141.252,-30.0774,22.8891,100.502,109.499,317.771,57.3743,179.232,-52.6816,-31.6755,40.8302,-2.79498,-3.01738,-8.03341,149.346,14.2903,103.194,-218.392,33.2943,140.007,-4.9493e-05,65.2902,16.4291,-48.5605,50.8586,-26.2225,-333.732,-6.97376e-05,56.4088,53.8123,-90.3739,-34.0252,-119.136,40.1566,221.079,-99.8558,91.3684,-162.945,250.928,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02048,0,-0.449103,-2.33476,8.96082,0.648532,-136.793,525.015,37.9975,0.00568288,0.269132,1572.12
0.015,0.0174345,0.0876584,0.100777,0.859832,1.02028,-0.32675,0.149752,-0.168375,-0.0339876,2.21625,-0.603104,-0.912628,0.0616562,0.391168,0.0716378,-0.470661,0.422191,-0.240121,0.0840606,0.145732,-0.33839,-0.0101004,-0.198727,-0.413341,-0.200659,0.15034,1.56589,-0.565822,-0.169603,0.499714,0.663704,1.30529,2.01151,1.64671,-0.160918,-0.653912,-0.144658,8.30704,-3.54037,2.32091,12.3708,5.88739,1.67219,-0.00491595,-5.91389,2.16403,9.20372,8.05908,19.9573,-3.26188,-0.00396019,-2.01031,-1.96868,-6.16867,-1.71075,0.880472,-0.882074,-13.1154,8.20685,-0.890107,3.04424,-1.61767,18.8396,-160.488,34.1326,63.6796,1300.25,399.923,105.756,-3.46257,3.68422,-117.842,10.6507,-2.4157,-0.239545,-2.03112,-30.1892,26.4138,-38.1614,-40.8889,70.2281,-0.640917,70.0674,-179.222,-82.441,-124.521,-21.6798,21.9401,100.343,82.3907,353.185,69.532,182.723,-51.4717,-33.4962,39.688,-2.90253,-1.6555,-8.13881,147.094,17.2369,98.5586,-225.401,30.8999,141.097,-4.59258e-05,60.2742,12.8205,-48.6368,32.7069,-92.0401,-322.177,-5.26636e-05,55.4597,56.8329,-86.3751,-36.5091,-118.273,37.3427,228.367,-100.407,91.5823,-163.729,251.708,0,0,0,1,0,0,0,0,0,0,0,0,0,0.999971,0,-0.432214,-4.2714,19.8629,2.33218,-197.869,920.136,108.037,0.00568886,0.268016,1371.83
0.02,0.0226741,0.0968785,0.110003,0.858955,1.01697,-0.327677,0.194964,-0.185646,-0.0199191,2.27247,-0.572895,-0.900739,0.0616316,0.363105,0.0827784,-0.425858,0.463304,-0.142636,0.0596967,0.145712,-0.347055,-0.018523,-0.231729,-0.422808,-0.199214,0.146863,1.50602,-0.527298,-0.171764,0.510842,0.661908,1.04793,1.84402,1.84515,-0.175431,-0.662189,-0.185352,9.04251,-3.45418,2.8137,11.2438,6.04189,2.37768,-0.00491618,-5.61252,2.22813,8.96054,8.22262,19.4971,-4.87277,-0.00396046,-1.73301,-1.68452,-6.60054,-1.8933,0.289106,-0.69536,-11.9735,7.70482,-0.432196,2.22559,-0.359134,-12.5149,-64.6399,45.2147,100.33,1125.56,281.552,78.8164,5.67396,-2.30522,-112.366,9.95213,-1.52379,-0.250618,6.10711,-141.258,46.7178,-97.5824,-76.4953,71.186,-0.535737,59.7782,-171.559,-60.6109,-108.032,-9.63226,24.1311,103.454,50.7619,377.967,80.3899,182.777,-49.3658,-38.9086,36.6466,-2.86908,0.786054,-8.07861,142.522,25.4419,87.0865,-238.729,25.1059,140.405,-3.55628e-05,51.1436,2.01073,-45.6746,2.30622,-190.598,-286.558,6.54483e-06,55.0009,63.8507,-76.8242,-41.5448,-115.554,31.7326,240.9,-100.033,90.9534,-163.031,250.608,0,0,0,1,0,0,0,0,0,0,0,0,0,0.983443,0,-0.415763,-3.94047,22.3376,3.22446,-241.288,1367.81,197.444,0.00569721,0.267763,1167.31
0.025,0.0266796,0.105126,0.120145,0.858006,1.01368,-0.328805,0.24374,-0.202281,-0.00367339,2.32272,-0.542057,-0.885341,0.061607,0.336321,0.0939693,-0.382197,0.504475,-0.0499149,0.0281689,0.145692,-0.354345,-0.0253493,-0.266653,-0.433313,-0.200657,0.144179,1.45218,-0.491275,-0.171651,0.517894,0.666378,0.801101,1.64948,2.02839,-0.189776,-0.658259,-0.225745,9.75513,-3.32697,3.24914,10.0502,6.16742,3.0797,-0.00491636,-5.3568,2.23818,8.73216,8.23415,18.5441,-6.30556,-0.00396042,-1.45801,-1.36527,-6.98466,-2.10102,-0.288664,-0.536697,-10.769,7.20466,0.0225713,1.41044,0.893904,-67.632,66.66,61.0429,111.339,967.924,139.334,56.6193,13.0314,-7.66305,-109.276,9.31932,-0.72799,-0.278385,-9.33067,-283.52,58.2739,-153.406,-127.132,53.7219,-0.363767,56.8289,-145.76,-38.9931,-91.8738,6.98666,29.7994,109.265,17.1336,388.384,88.9948,178.686,-46.1732,-50.7837,29.8984,-2.36325,4.02941,-7.31751,134.962,43.5037,65.923,-258.31,14.042,132.819,-2.9844e-05,37.5232,-22.0002,-42.086,-36.58,-296.279,-217.821,3.01305e-05,56.484,77.2449,-58.0572,-49.8916,-110.039,22.4277,257.653,-97.2815,88.357,-158.191,245.171,0,0,0,1,0,0,0,0,0,0,0,0,0,0.968913,0,-0.40119,-1.36461,9.9419,1.52617,-252.529,1839.8,282.426,0.00571634,0.268163,990.672
0.03,0.0295308,0.112104,0.131034,0.856998,1.01049,-0.330117,0.295889,-0.217828,0.0142204,2.36651,-0.510869,-0.866622,0.0615824,0.310475,0.10461,-0.339589,0.544731,0.0353987,-0.0088044,0.145672,-0.360223,-0.0302445,-0.303027,-0.445065,-0.204852,0.142056,1.40477,-0.457684,-0.16933,0.520991,0.676977,0.570235,1.39556,2.17788,-0.201593,-0.638112,-0.262333,10.4299,-3.10946,3.57875,8.7586,6.23763,3.7438,-0.00491651,-5.16919,2.12818,8.52173,8.05125,17.0627,-7.39467,-0.00396027,-1.17559,-0.979041,-7.27495,-2.35048,-0.838859,-0.424559,-9.48078,6.71825,0.464356,0.619482,2.11976,-106.546,191.698,80.8097,133.645,800.417,18.2893,38.9174,17.4381,-11.0226,-108.178,8.73178,-0.123008,-0.319644,-17.8826,-417.235,52.635,-212.875,-186.574,23.0634,-0.156824,63.0717,-102.844,-17.7297,-76.4787,28.4545,38.8046,116.632,-15.1857,380.852,94.1031,169.94,-41.762,-70.8923,17.5174,-1.10322,7.52517,-5.4691,124.01,74.3169,33.8503,-282.238,-3.5355,112.496,-2.54624e-05,19.6961,-62.267,-43.3041,-78.9871,-383.821,-118.788,3.79455e-05,61.0694,97.3303,-27.1428,-61.9109,-100.944,8.66066,276.328,-91.0021,82.556,-146.748,233.584,0,0,0,1,0,0,0,0,0,0,0,0,0,0.952147,0,-0.38791,2.24283,-19.7402,-2.81393,-263.49,2319.1,330.584,0.00577527,0.269938,844.685
0.035,0.0313379,0.117309,0.142362,0.855962,1.00748,-0.331565,0.351139,-0.231517,0.0329604,2.40325,-0.479769,-0.84509,0.0615579,0.285122,0.113694,-0.298062,0.583012,0.111117,-0.0487474,0.145653,-0.364574,-0.0327064,-0.340081,-0.458365,-0.211569,0.14015,1.36428,-0.426368,-0.164944,0.52042,0.693415,0.361425,1.0411,2.26547,-0.207109,-0.600486,-0.289678,11.05,-2.73787,3.748,7.34741,6.21995,4.30628,-0.00491663,-5.07071,1.81685,8.30521,7.65632,15.1436,-7.9886,-0.00396008,-0.870242,-0.492389,-7.41066,-2.66004,-1.34358,-0.381256,-8.09914,6.26324,0.877136,-0.114259,3.28768,-120.984,259.411,93.5411,196.175,633.841,-26.2477,25.7895,18.3148,-11.3474,-108.3,8.19502,0.176033,-0.368196,-15.4974,-488.157,33.4715,-256.813,-265.741,-8.58468,0.0555886,75.973,-46.1154,3.66438,-62.1391,53.7855,50.2864,124.251,-43.6883,354.561,94.9393,156.71,-36.3657,-97.4181,-1.68055,1.04862,10.7146,-2.34842,109.631,116.385,-7.67169,-307.096,-27.5601,75.3037,-2.16215e-05,-1.28768,-115.858,-53.6495,-120.674,-440.327,-2.05839,3.91041e-05,68.7279,120.939,16.3498,-77.0654,-87.739,-9.56298,293.678,-80.9304,72.5659,-127.613,215.642,0,0,0,1,0,0,0,0,0,0,0,0,0,0.937187,0,-0.376781,5.52906,-51.7009,-5.75142,-294.45,2753.33,306.291,0.00588473,0.272626,729.115
0.04,0.0322359,0.120079,0.153647,0.854953,1.00475,-0.333072,0.40913,-0.242297,0.0515086,2.43231,-0.449359,-0.821676,0.0615333,0.259736,0.119882,-0.257878,0.618277,0.175827,-0.0887419,0.145633,-0.367207,-0.0321449,-0.376725,-0.473592,-0.220481,0.138005,1.33112,-0.397075,-0.158744,0.516659,0.715244,0.179596,0.554011,2.25706,-0.201866,-0.546913,-0.30142,11.5981,-2.15595,3.70964,5.81193,6.08215,4.6828,-0.00491674,-5.07715,1.23756,8.03697,7.05294,12.942,-7.9989,-0.00395989,-0.526602,0.112307,-7.32891,-3.04536,-1.78228,-0.429071,-6.63075,5.85859,1.23997,-0.752323,4.36589,-143.934,232.456,87.1328,287.932,501.602,40.4052,17.573,16.181,-8.70536,-108.533,7.73517,0.0872849,-0.417524,-35.8886,-457.573,12.1415,-247.219,-379.889,-25.8684,0.24996,92.0257,17.5012,26.0969,-48.7246,80.8655,62.8437,131.07,-66.9641,312.218,91.4513,140,-30.6421,-125.432,-27.9481,4.00636,13.1254,1.968,92.4964,164.346,-53.9726,-328.697,-56.5054,20.2813,-2.40432e-05,-24.0045,-174.266,-75.7853,-158.968,-465.292,114.95,3.41638e-05,78.3438,142.184,70.0363,-93.8982,-70.5682,-30.7684,306.314,-67.9652,58.1437,-101.567,192.826,0,0,0,1,0,0,0,0,0,0,0,0,0,0.929044,0,-0.368787,7.34187,-67.9604,-4.25538,-332.307,3076.02,192.606,0.00604302,0.275988,646.906
0.045,0.0323679,0.119714,0.164234,0.854044,1.00234,-0.33453,0.469433,-0.248968,0.0687075,2.45315,-0.420361,-0.797755,0.0615087,0.23375,0.121713,-0.219587,0.649568,0.228905,-0.125863,0.145613,-0.367882,-0.0280288,-0.411619,-0.491166,-0.231156,0.13509,1.30563,-0.369481,-0.151091,0.510358,0.741895,0.026386,-0.0731506,2.11732,-0.181834,-0.481286,-0.29158,12.0606,-1.33421,3.43978,4.16844,5.79963,4.7842,-0.00491686,-5.19717,0.366225,7.65804,6.2581,10.6155,-7.42415,-0.00395972,-0.134884,0.823225,-6.97873,-3.51485,-2.13512,-0.582912,-5.09918,5.51876,1.53068,-1.26016,5.33002,-163.145,113.594,63.1303,395.986,413.694,203.701,14.3829,12.4987,-4.27884,-107.429,7.3674,-0.393668,-0.462022,-70.6156,-325.876,-1.03204,-195.244,-508.741,-13.9361,0.410671,110.027,78.9725,50.3817,-35.5523,106.845,74.7994,136.483,-84.6519,258.939,84.1898,121.336,-25.4611,-148.351,-60.2131,7.47811,14.5246,7.09863,73.4857,210.543,-97.9302,-343.207,-87.9402,-50.1711,-3.73803e-05,-47.4214,-226.084,-112.247,-192.974,-466.629,217.483,2.11857e-05,87.9819,154.457,128.958,-110.411,-50.4375,-52.0756,311.532,-53.8652,39.9835,-71.0718,167.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0.922564,0,-0.364481,7.10308,-62.2307,-0.222694,-372.336,3262.07,11.6734,0.00623698,0.279932,642.61
