time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.005,-0.130847,0.113288,0.0174146,0.859333,1.03869,-0.310875,-0.350377,-0.129636,-0.371881,0.317028,-0.554548,0.0522985,0.0614823,1.03271,0.00702634,-0.165512,1.14795,-0.132906,-0.38524,0.0793585,-0.171652,-0.156199,0.223281,-0.239811,-0.408049,0.111783,2.49825,-1.04007,-0.471118,-0.00410376,2.13575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143151,0.090109,0
0.01,-0.136809,0.10829,0.0083357,0.859529,1.03934,-0.309592,-0.347491,-0.132001,-0.350013,0.359948,-0.561764,-0.0366984,0.0615997,1.00895,-0.00367259,-0.174364,1.03078,-0.154954,-0.374705,0.0793989,-0.164305,-0.154947,0.238456,-0.252818,-0.414984,0.110077,2.50307,-1.04279,-0.46813,-0.0118773,2.14393,-1.19231,-0.999729,-1.81578,0.0391294,0.129739,0.256596,0.577053,-0.473096,4.37369,8.58403,-1.44327,-17.7994,0.0234885,-4.75247,-2.13979,-1.77027,-23.4334,-4.40964,2.1071,0.00808215,1.46932,0.250372,3.035,-2.60151,-1.38691,-0.341318,0.962065,-0.544462,0.597593,-1.55471,1.63491,71.9495,-225.773,-259.174,9.12183,-4.15589,16.7174,163.171,133.914,-22.2373,-0.47526,2.09145,3.45695,-0.378616,-25.5048,253.056,-134.974,184.604,-0.320617,2.23224,-0.328761,-73.1998,-86.2337,-146.86,-58.6889,2.92737,9.84039,-93.4127,55.1583,-3.99199,-4.1444,-15.3292,55.1252,-65.4463,34.1028,0.0609268,-9.23433,-1.31118,42.3332,108.571,48.9309,181.976,63.5055,183.238,0.000140075,-46.5364,-19.5408,-257.427,218.409,15.4402,457.825,-2.85846e-05,-72.0656,72.9181,-108.182,-11.0512,24.5886,25.9576,-160.879,49.5168,49.2938,26.6248,-54.3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134473,0.0892801,351.712
0.015,-0.141392,0.101655,0.00010936,0.859726,1.03975,-0.308342,-0.343548,-0.131652,-0.326921,0.407417,-0.567393,-0.121114,0.0617172,0.98402,-0.01486,-0.189651,0.919074,-0.176616,-0.352723,0.0794393,-0.15876,-0.151872,0.250926,-0.266102,-0.421304,0.109019,2.50385,-1.04427,-0.46391,-0.0189852,2.15074,-0.916681,-1.32696,-1.64527,0.0394341,0.0835671,0.25004,0.788719,0.0697598,4.61834,9.49391,-1.12575,-16.8832,0.0234892,-4.98515,-2.23749,-3.05741,-22.3414,-4.33244,4.39623,0.00808201,1.109,0.614963,2.49409,-2.65677,-1.26397,-0.21153,0.157672,-0.296878,0.844062,-1.42159,1.36311,48.2942,-162.677,-207.577,1.33655,0.0386318,9.76256,176.678,102.727,-21.3279,-8.25839,2.74242,2.4654,-0.410377,-78.4263,189.668,-86.9456,178.914,-0.688991,0.922314,-0.15982,-60.7895,-64.0635,-147.871,-59.4893,2.37623,9.45253,-90.6716,54.2443,-3.34587,-3.40892,-13.1621,54.9003,-63.7229,35.518,0.785471,-8.04159,-1.09817,42.3846,107.389,46.0488,180.672,58.7285,187.629,0.000133567,-43.7986,-17.1329,-258.42,224.669,16.6986,455.06,-1.11408e-05,-71.6455,71.1546,-109.137,-11.0392,24.8744,25.8537,-160.313,50.0853,48.0139,26.9566,-54.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128786,0.0885957,268.294
0.02,-0.144603,0.0934268,-0.00722903,0.859943,1.03997,-0.307119,-0.338545,-0.128619,-0.302678,0.459404,-0.571553,-0.200839,0.0618346,0.958,-0.0264758,-0.211398,0.812984,-0.197861,-0.319366,0.0794797,-0.155006,-0.147019,0.260668,-0.279662,-0.427002,0.108608,2.50063,-1.04451,-0.458489,-0.0254193,2.1562,-0.64218,-1.64557,-1.46768,0.0433614,0.0433591,0.24455,1.00064,0.606703,4.84859,10.3973,-0.832104,-15.945,0.0234899,-5.20415,-2.32316,-4.34951,-21.218,-4.24895,6.67153,0.00808196,0.750769,0.970736,1.94841,-2.71196,-1.13959,-0.0822614,-0.64389,-0.0464514,1.08413,-1.2868,1.09165,35.9576,-99.0555,-148.563,-1.08685,-0.760315,0.782379,194.205,71.758,-19.4408,-16.5929,3.24093,1.48981,-0.421848,-127.975,119.617,-45.2903,175.046,-1.05829,-0.371174,-0.0450814,-47.6715,-43.9771,-149.477,-60.9415,1.70052,9.27337,-87.6018,54.2022,-2.70595,-2.56903,-11.1666,53.8078,-58.1332,39.6482,1.37369,-7.11697,-1.28433,42.9035,103.201,37.2375,177.176,47.2028,201.223,0.000126534,-35.5679,-9.74912,-259.576,242.696,19.886,443.699,1.57051e-05,-70.1893,65.5027,-111.929,-10.7246,25.7109,25.5489,-158.713,51.7477,44.2594,27.8227,-53.9432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012489,0.0880915,182.149
0.025,-0.146469,0.0837456,-0.0135762,0.860194,1.04001,-0.305929,-0.332469,-0.123005,-0.277504,0.515819,-0.574534,-0.275534,0.0619521,0.93109,-0.0383353,-0.239635,0.712962,-0.218609,-0.274916,0.0795201,-0.153007,-0.140527,0.267612,-0.29349,-0.432057,0.108835,2.49345,-1.04344,-0.451962,-0.0311577,2.16031,-0.373141,-1.93624,-1.26944,0.0502299,0.00777426,0.238128,1.21516,1.12271,5.03477,11.2831,-0.59609,-14.9389,0.0234905,-5.38198,-2.3719,-5.64739,-20.0045,-4.14952,8.89002,0.00808203,0.399822,1.29825,1.38876,-2.76559,-1.01104,0.0454831,-1.43745,0.212287,1.30543,-1.14769,0.821937,28.7541,-42.5446,-87.2925,1.40928,-5.78739,-7.15297,216.194,42.2035,-16.6946,-25.6999,3.60696,0.575811,-0.413202,-177.211,51.072,-12.1514,173.704,-1.54829,-1.59453,0.0173695,-34.8996,-27.8079,-150.942,-62.4366,0.906293,9.19669,-83.9049,55.1357,-2.19513,-1.69082,-9.09155,51.0162,-47.3379,46.9291,1.79749,-6.45794,-1.94898,44.7347,94.315,20.4448,170.917,30.3424,225.909,0.000122214,-20.5174,3.93177,-257.554,273.578,24.3321,416.043,6.0456e-05,-66.8092,54.3166,-116.803,-9.66845,27.2775,24.9785,-155.9,54.7799,37.2902,29.2897,-53.0282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122388,0.087798,101.703
0.03,-0.147059,0.072881,-0.0187502,0.86049,1.03989,-0.304787,-0.325275,-0.115034,-0.251819,0.576508,-0.576756,-0.344581,0.0620695,0.903667,-0.0500965,-0.274311,0.619778,-0.238748,-0.220064,0.0795605,-0.152678,-0.132678,0.271636,-0.307559,-0.43643,0.109687,2.48236,-1.04101,-0.444503,-0.0361639,2.1631,-0.11806,-2.17293,-1.03479,0.0592173,-0.0245154,0.228383,1.43883,1.59429,5.137,12.1377,-0.444378,-13.8094,0.0234911,-5.48457,-2.35224,-6.93516,-18.6366,-4.02786,10.9702,0.00808234,0.0657761,1.56983,0.804748,-2.81393,-0.874651,0.170376,-2.21696,0.486187,1.49188,-1.00124,0.556796,19.0111,-2.18579,-31.0358,14.9785,-10.1947,0.284151,241.359,14.7996,-13.223,-35.3223,3.90925,-0.256331,-0.387923,-226.587,-5.48378,11.0295,174.805,-2.25728,-2.63615,0.0333451,-25.1197,-16.338,-151.865,-63.4714,-0.163916,8.95263,-79.365,57.0017,-1.78484,-0.658893,-6.5291,45.7566,-31.4671,56.6723,2.03163,-6.01813,-2.89446,48.6253,80.0544,-4.53236,161.192,11.7577,259.914,0.00012932,0.769647,23.3626,-246.861,313.483,27.9505,364.819,0.000128146,-60.7455,37.377,-123.13,-7.56812,29.5855,23.9923,-151.904,59.2345,26.8674,31.4381,-51.3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121117,0.0877468,40.716
0.035,-0.146505,0.0612296,-0.0225073,0.860837,1.03961,-0.303717,-0.316865,-0.105061,-0.226248,0.641227,-0.578684,-0.40713,0.062187,0.876263,-0.0612737,-0.315158,0.534432,-0.258189,-0.156093,0.0796009,-0.153868,-0.123895,0.272581,-0.321818,-0.440064,0.111139,2.46748,-1.0371,-0.436371,-0.0403842,2.1646,0.110723,-2.33027,-0.751431,0.0693755,-0.0546061,0.213911,1.68196,1.99456,5.11434,12.9437,-0.385589,-12.5098,0.0234918,-5.48072,-2.23543,-8.16946,-17.0692,-3.88811,12.7943,0.00808298,-0.237951,1.75672,0.189097,-2.85177,-0.726724,0.290337,-2.97648,0.782359,1.62622,-0.844051,0.300278,7.34077,29.2529,14.482,16.9439,-10.18,1.60635,267.14,-4.54388,-10.3549,-44.429,4.23237,-0.933293,-0.353707,-276.223,-49.1519,26.284,177.35,-3.21174,-3.51288,0.0178527,-14.9549,-8.20743,-151.209,-64.1382,-1.19915,8.83366,-73.8988,58.8256,-1.69848,0.295025,-3.52242,38.3331,-11.2008,67.3441,1.82861,-5.69198,-4.22875,54.5671,60.9895,-35.8748,147.553,-2.63398,299.868,9.27551e-05,25.5242,45.9422,-221.094,355.084,27.7033,284.939,0.000118127,-51.9667,16.1526,-129.391,-4.35314,32.4406,22.4367,-146.974,64.8374,13.4333,34.269,-48.7949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121113,0.0879541,38.8929
0.04,-0.144994,0.0492983,-0.0245809,0.86123,1.0392,-0.302754,-0.307091,-0.0935634,-0.201573,0.709634,-0.580677,-0.462182,0.0623045,0.849498,-0.0713023,-0.361533,0.457963,-0.276937,-0.0849977,0.0796413,-0.156357,-0.114707,0.270292,-0.336186,-0.442886,0.113151,2.44892,-1.03157,-0.427905,-0.0437477,2.16488,0.302389,-2.38627,-0.41471,0.0785185,-0.083066,0.192767,1.95479,2.2995,4.93496,13.6815,-0.398759,-11.0105,0.0234922,-5.3531,-2.00572,-9.27493,-15.2938,-3.74959,14.219,0.00808357,-0.497785,1.83748,-0.457861,-2.87353,-0.564521,0.402521,-3.71135,1.10655,1.69338,-0.672707,0.0563031,-11.7935,45.7919,44.152,10.2034,-3.73662,-2.89241,289.159,-15.6445,-8.52549,-51.9245,4.67282,-1.46091,-0.318029,-323.167,-74.3291,34.5542,180.713,-4.45428,-4.14387,-0.00777514,-7.37652,-4.7408,-147.862,-64.1819,-2.13731,8.8722,-67.8862,59.9826,-1.87314,1.18407,-0.268997,29.4353,11.121,76.9706,1.21067,-5.40488,-5.72307,61.5573,38.3397,-69.8763,130.159,-6.7697,340.98,4.17637e-05,49.3557,68.024,-174.879,389.975,20.6138,175.532,6.27971e-05,-41.5746,-7.11062,-133.63,-0.0916016,35.4616,20.1857,-141.51,70.9957,-1.84984,37.5872,-45.8023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122571,0.0884638,65.6645
0.045,-0.142746,0.037645,-0.0247302,0.861653,1.03865,-0.301933,-0.295778,-0.0811074,-0.178645,0.781295,-0.58284,-0.50871,0.0624219,0.823966,-0.0796303,-0.41228,0.391244,-0.295169,-0.00951422,0.0796818,-0.159885,-0.105697,0.264662,-0.350556,-0.444822,0.115669,2.42683,-1.02426,-0.419484,-0.0461716,2.16402,0.449566,-2.33066,-0.0298574,0.0845718,-0.11009,0.164152,2.26258,2.4912,4.58558,14.3323,-0.432608,-9.30557,0.0234924,-5.10632,-1.6656,-10.1493,-13.3439,-3.64652,15.0967,0.00808388,-0.705658,1.80193,-1.12601,-2.87399,-0.387213,0.503449,-4.4189,1.46152,1.68413,-0.484771,-0.172708,-34.3584,43.1419,53.8831,-1.49292,-1.86136,-10.7396,305.822,-18.6751,-8.46811,-57.6476,5.32582,-1.8504,-0.289448,-363.207,-78.0435,37.5922,184.228,-5.9879,-4.47609,-0.0169019,-2.56181,-7.51938,-142.663,-63.7492,-2.97926,9.0326,-61.6542,60.4467,-2.23585,1.97877,2.75007,20.4162,32.5027,83.4121,0.301471,-5.19338,-7.03655,68.1154,14.0661,-102.131,109.664,3.20676,377.046,-5.50909e-06,68.0016,85.9804,-105.942,411.255,5.43114,41.2874,4.78583e-06,-31.1173,-29.7213,-134.374,5.05478,38.0922,17.2143,-135.755,76.9243,-17.3377,40.9909,-42.7472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124953,0.0890616,77.8855
0.05,-0.139987,0.0268042,-0.0227942,0.862083,1.03797,-0.301288,-0.282762,-0.0682997,-0.15827,0.855698,-0.584923,-0.545812,0.0625394,0.800135,-0.0858087,-0.465675,0.334805,-0.313266,0.0670014,0.0797222,-0.164191,-0.0974309,0.255672,-0.364799,-0.445806,0.118616,2.40134,-1.01503,-0.411497,-0.0475707,2.16208,0.551646,-2.16815,0.387203,0.0860792,-0.136057,0.128969,2.60316,2.56153,4.07493,14.8806,-0.416574,-7.42033,0.0234924,-4.76632,-1.2357,-10.679,-11.2876,-3.61937,15.3031,0.00808391,-0.861244,1.65332,-1.79788,-2.84872,-0.196752,0.58952,-5.09768,1.84615,1.59745,-0.279816,-0.386444,-52.1378,26.0044,44.5051,-7.57312,-2.35336,-11.6236,316.193,-15.3214,-10.4303,-61.6577,6.23824,-2.1445,-0.274909,-389.149,-62.2911,37.3317,186.121,-7.67839,-4.49734,0.00865398,0.0612939,-13.2545,-136.395,-62.9894,-3.92427,9.07161,-55.3623,60.1183,-2.51168,2.77424,5.35458,12.5549,50.4025,85.4162,-0.645518,-5.01137,-7.89118,72.8146,-9.57014,-128.752,87.0175,27.845,401.271,-5.70827e-05,78.6798,96.7402,-16.9748,415.521,-15.5482,-107.087,-6.61594e-05,-22.0022,-48.8784,-130.899,10.7938,39.7061,13.6913,-129.755,81.6953,-31.3976,44.0378,-40.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127567,0.0895247,74.6544
