time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.138931,0.045169,0.0268491,0.884816,1.01061,-0.31059,-0.378807,-0.0729494,-0.209875,0.829356,-0.715893,-0.500784,0.0216344,0.892742,0.00564801,-0.307281,0.343448,-0.14992,0.287632,0.0519107,-0.0374879,-0.10509,0.173644,-0.368526,-0.385308,0.0977834,2.37925,-1.0627,-0.373837,-0.0261168,2.2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000966004,0.090225,0
0.005,-0.138295,0.0383326,0.0318699,0.884211,1.01039,-0.310698,-0.353373,-0.0660817,-0.1985,0.921969,-0.722337,-0.512491,0.0217262,0.877658,0.00531893,-0.362334,0.316817,-0.157377,0.333485,0.0519164,-0.0419829,-0.0996318,0.165041,-0.380628,-0.383646,0.0991036,2.36067,-1.04631,-0.367489,-0.0251929,2.26088,0.127286,-1.36728,1.00416,-0.120988,-0.0432794,-0.0216064,5.08684,1.37355,2.27518,18.5225,-1.2888,-2.34125,0.0183598,-3.01672,-0.0658147,-11.0105,-5.32622,-1.49153,9.1707,0.00114933,-0.898997,1.09172,-1.72064,-2.42037,0.332522,0.264037,-3.71487,3.27747,1.26953,0.184777,-1.44295,-76.3326,187.457,313.041,-2.78328,1.07877,-0.302496,373.129,-176.121,31.5715,-118.625,17.8608,-8.18674,-0.632863,-411.598,-313.939,73.7366,140.802,-9.07102,-7.93711,0.061427,-55.1842,52.9411,-101.946,-55.6544,-4.92722,1.96547,-49.1302,42.2204,0.594893,10.5068,11.9462,30.5319,50.9797,52.6797,-5.6759,0.984173,-5.08493,21.6352,-62.3769,-131.013,-48.4711,243.071,129.995,8.69881e-05,-15.6254,54.9818,350.791,251.289,-94.7791,-517.544,0.000177084,-59.8778,-48.425,-81.2049,-2.66434,47.5032,-22.2823,-106.519,97.2907,-43.4745,67.2361,-33.8741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996404,0.0910878,372.787
0.01,-0.136895,0.0327707,0.0382077,0.883464,1.0102,-0.310933,-0.327398,-0.0607733,-0.190399,1.01337,-0.722705,-0.520947,0.021818,0.862184,0.00636441,-0.408616,0.296468,-0.167204,0.3664,0.0519222,-0.0479748,-0.0953838,0.154408,-0.392796,-0.380795,0.0998667,2.33944,-1.02749,-0.362229,-0.0225881,2.25282,0.279945,-1.11238,1.26755,-0.149368,-0.0383585,-0.047031,5.19501,1.06167,1.62012,18.2801,-0.0734431,-1.69128,0.0183603,-3.09484,0.209094,-9.25653,-4.06977,-1.96542,6.58298,0.00115021,-1.19839,0.849592,-2.12666,-2.4337,0.570038,0.152626,-4.24746,3.76392,1.05216,0.520957,-1.61232,-86.4405,126.763,179.121,-3.36554,3.17374,-1.46321,362.586,-118.088,12.3572,-106.499,16.9057,-6.97457,-0.624052,-405.909,-202.973,59.023,151.002,-10.4509,-5.7934,0.2503,-54.5013,35.4846,-108.324,-60.1171,-4.71353,4.09115,-47.7364,44.0845,0.461949,10.4614,12.9706,32.0378,50.5508,51.5819,-5.24382,1.45025,-5.54426,19.6406,-62.3317,-128.827,-50.2116,236.657,124.629,7.19178e-05,-18.4192,53.2393,350.41,247.999,-91.3543,-504.891,0.000144458,-61.0223,-47.7059,-80.2357,-2.23812,47.0652,-22.0958,-106.349,96.5633,-43.2595,67.2654,-33.9746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103351,0.0920654,235.9
0.015,-0.134694,0.0284726,0.045835,0.882586,1.01004,-0.311307,-0.300932,-0.0570233,-0.185519,1.10351,-0.717155,-0.526288,0.0219098,0.84625,0.00874086,-0.446139,0.282319,-0.179315,0.386693,0.0519279,-0.0554923,-0.0923285,0.141769,-0.405021,-0.376769,0.100077,2.31554,-1.00626,-0.358049,-0.0183017,2.24391,0.440134,-0.859625,1.52546,-0.175587,-0.0311073,-0.0747523,5.29322,0.750007,0.975983,18.029,1.10984,-1.06813,0.0183606,-3.18694,0.475291,-7.50448,-2.82977,-2.42219,4.05853,0.00115094,-1.5035,0.611063,-2.52784,-2.44489,0.805364,0.0421466,-4.7792,4.24674,0.835858,0.857284,-1.78219,-79.9488,83.2022,74.6539,-4.02022,2.37921,0.744597,350.021,-72.8966,-5.67728,-96.3437,15.8542,-5.92676,-0.613261,-390.02,-120.417,48.9158,155.693,-11.081,-4.05145,0.380634,-50.121,21.2269,-113.944,-65.1707,-4.94304,6.08104,-46.313,44.8571,1.07773,11.2001,13.0116,36.1827,49.2134,47.85,-4.56195,1.90829,-5.37979,14.02,-62.0411,-121.704,-55.0126,217.358,109.389,5.6179e-05,-26.5311,47.7984,347.625,238.64,-80.5048,-466.052,8.84905e-05,-64.3245,-45.593,-77.0874,-0.958042,45.567,-21.3047,-105.736,94.2773,-42.4201,67.0998,-34.3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106253,0.0930956,137.514
0.02,-0.131589,0.0254048,0.0546586,0.881594,1.00993,-0.311815,-0.274115,-0.0548243,-0.183682,1.19228,-0.706172,-0.528894,0.0220016,0.829652,0.0123123,-0.47497,0.274137,-0.193439,0.395334,0.0519337,-0.0646179,-0.090413,0.127202,-0.417269,-0.371603,0.0997556,2.289,-0.982665,-0.35493,-0.0123377,2.23414,0.621048,-0.613558,1.76471,-0.198397,-0.0215658,-0.101651,5.36332,0.439801,0.367462,17.754,2.19663,-0.52119,0.0183609,-3.31959,0.714283,-5.76636,-1.63657,-2.82472,1.72827,0.00115138,-1.82512,0.383097,-2.91328,-2.44968,1.0332,-0.0643767,-5.30788,4.71812,0.623757,1.19278,-1.95384,-66.462,53.9079,1.90291,-1.63171,-2.2675,8.34695,335.006,-42.6992,-19.545,-88.0506,14.6381,-5.09792,-0.593103,-369.626,-66.9626,42.4071,154.763,-10.9309,-2.68374,0.446162,-43.7207,9.88539,-119.254,-70.5186,-5.6424,7.84288,-44.64,44.4845,2.32175,12.5428,12.1543,43.1031,46.9929,40.2866,-3.47104,2.43196,-4.53334,4.80519,-61.5998,-107.637,-62.9619,182.827,83.596,4.90612e-05,-40.6032,37.8464,339.684,222.171,-60.3671,-395.37,1.82874e-06,-69.7571,-42.0453,-70.9616,1.42664,42.4571,-19.2444,-104.411,89.8026,-40.3969,66.1214,-35.1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107408,0.0941338,86.0486
0.025,-0.127406,0.0235118,0.0644893,0.880516,1.00989,-0.312437,-0.247178,-0.0541653,-0.184535,1.27948,-0.690618,-0.52941,0.0220934,0.812038,0.0168298,-0.49531,0.271508,-0.209072,0.394091,0.0519394,-0.0754874,-0.0895487,0.110862,-0.429482,-0.365375,0.0989526,2.25985,-0.95683,-0.352822,-0.00472079,2.22349,0.836563,-0.378594,1.96615,-0.215752,-0.00940603,-0.124318,5.38734,0.131803,-0.170722,17.4392,3.11077,-0.10321,0.0183611,-3.52261,0.903515,-4.06793,-0.525717,-3.12655,-0.248582,0.00115139,-2.1739,0.172871,-3.26808,-2.44254,1.24548,-0.160599,-5.82994,5.16714,0.421773,1.52339,-2.12966,-52.9131,32.8315,-43.6713,2.04085,-6.26894,10.718,317.855,-26.3402,-27.8362,-81.6163,13.2916,-4.49119,-0.561407,-348.622,-39.199,38.5023,149.096,-10.0908,-1.66654,0.448953,-36.7102,-1.45635,-125.094,-76.0057,-6.55568,9.55573,-42.3978,43.1283,3.76899,13.9582,10.4728,51.589,44.4024,28.5187,-2.01261,3.01039,-3.1907,-6.16657,-61.4855,-86.156,-72.9868,136.163,50.4564,6.27274e-05,-58.851,24.1555,324.177,199.703,-31.9596,-298.306,-9.37597e-05,-76.1186,-37.7961,-61.9528,4.92638,37.4246,-15.3141,-102.142,82.8515,-36.6807,63.4056,-36.7298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106739,0.0951017,77.0923
0.03,-0.121934,0.0227289,0.075033,0.879387,1.00992,-0.313138,-0.220396,-0.0550434,-0.187543,1.36485,-0.671661,-0.528664,0.0221852,0.792954,0.0219513,-0.507545,0.273872,-0.225503,0.38539,0.0519452,-0.0882599,-0.0896292,0.0929726,-0.441571,-0.358212,0.0977667,2.22815,-0.928923,-0.35163,0.00448131,2.21192,1.09451,-0.156582,2.10874,-0.225815,0.00564592,-0.140271,5.35651,-0.175625,-0.601503,17.0742,3.79158,0.149072,0.0183615,-3.81686,1.02429,-2.44705,0.472797,-3.28635,-1.74011,0.00115092,-2.5545,-0.0161096,-3.57785,-2.41791,1.43261,-0.23717,-6.34065,5.58139,0.238369,1.84042,-2.31331,-40.2404,11.7193,-68.4651,1.19955,-6.45096,3.04977,299.128,-22.324,-29.6689,-77.0953,11.9563,-4.10837,-0.519876,-327.954,-30.0875,36.1806,140.12,-8.71736,-0.960546,0.397371,-28.9467,-15.7313,-132.041,-81.5575,-7.42286,11.3595,-39.3337,41.1156,5.05369,14.9409,7.92746,59.6313,41.8884,13.367,-0.387698,3.48801,-1.62079,-15.8529,-62.1949,-58.7157,-83.4659,85.0059,16.1311,8.04313e-05,-77.2797,8.48406,299.857,174.781,3.24787,-188.481,-0.00017555,-81.3652,-33.7556,-51.0632,9.25434,30.4384,-9.54514,-98.6971,73.6883,-31.0667,58.1621,-39.2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104979,0.0960164,80.6005
0.035,-0.11497,0.0229932,0.0859109,0.878248,1.01003,-0.31388,-0.19401,-0.0574764,-0.192018,1.44814,-0.650577,-0.527516,0.022277,0.771938,0.0272849,-0.512284,0.280605,-0.241854,0.371978,0.0519509,-0.103067,-0.0905536,0.0738068,-0.45343,-0.350288,0.0963423,2.19398,-0.899173,-0.351215,0.0151375,2.19938,1.39266,0.0528605,2.17557,-0.227753,0.0230859,-0.148375,5.27724,-0.486599,-0.895081,16.6569,4.21661,0.229728,0.0183619,-4.20326,1.06671,-0.947764,1.3467,-3.27011,-2.68252,0.00115004,-2.96132,-0.184888,-3.83316,-2.37164,1.5848,-0.284895,-6.83413,5.94984,0.0830357,2.13123,-2.50957,-28.7455,-11.5128,-79.0767,2.5723,-4.83851,-0.574089,280.68,-27.4014,-26.0123,-74.8329,10.8296,-3.91272,-0.475559,-307.216,-30.5613,34.4891,129.741,-6.94735,-0.503471,0.30032,-22.1841,-30.9722,-139.628,-86.7143,-8.39478,12.8955,-35.4333,39.0562,6.27082,15.3611,4.71686,64.6063,39.6032,-3.40641,1.24156,3.5781,0.044241,-20.6706,-63.786,-27.9655,-92.8551,38.6921,-12.7571,9.47107e-05,-90.9519,-7.05289,267.132,151.99,46.3802,-81.373,-0.000243269,-82.9562,-30.4657,-39.651,13.7919,21.8108,-2.70417,-93.7211,63.1113,-23.8509,50.1276,-42.8337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102568,0.0968723,85.1019
0.04,-0.106392,0.0242476,0.0967036,0.87714,1.01024,-0.314621,-0.16814,-0.061504,-0.197193,1.5291,-0.628527,-0.526686,0.0223688,0.748648,0.0324421,-0.510345,0.291139,-0.257045,0.356531,0.0519567,-0.119947,-0.0922397,0.0536497,-0.464943,-0.341819,0.0948502,2.15746,-0.867846,-0.351396,0.0270468,2.18576,1.7157,0.250877,2.15854,-0.221546,0.0409765,-0.148154,5.17389,-0.80553,-1.03491,16.1926,4.41007,0.165942,0.0183623,-4.65802,1.03145,0.387898,2.10665,-3.03821,-3.08938,0.00114882,-3.3761,-0.337216,-4.03142,-2.30268,1.69385,-0.298416,-7.30274,6.26539,-0.0362188,2.38187,-2.72374,-19.2637,-37.9241,-82.7239,4.55332,-4.8362,-2.13929,263.468,-36.971,-19.0246,-74.7222,10.0677,-3.84218,-0.436331,-287.145,-33.2119,32.7938,120.026,-4.82949,-0.234072,0.161183,-17.0951,-46.4126,-147.041,-91.0505,-9.31807,14.1034,-30.6542,37.5226,7.26392,14.8968,1.1098,63.9675,37.404,-19.763,2.6333,2.96221,1.50625,-17.3742,-65.7571,3.18003,-100.148,5.203,-31.1653,0.000105535,-95.7804,-20.251,227.995,135.001,101.852,10.9142,-0.000297072,-78.4155,-28.1433,-28.9744,17.5679,12.1869,4.05614,-86.672,52.1824,-15.846,39.5945,-47.3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100031,0.097719,93.2806
0.045,-0.0962143,0.0264371,0.107002,0.876098,1.01051,-0.315324,-0.142705,-0.0671756,-0.202288,1.60756,-0.606347,-0.526635,0.0224607,0.722963,0.0370931,-0.502705,0.305047,-0.26969,0.341357,0.0519624,-0.138788,-0.0946294,0.0327683,-0.476017,-0.333045,0.0934595,2.11878,-0.835215,-0.351973,0.039946,2.17096,2.03553,0.437897,2.05973,-0.208379,0.0557875,-0.140623,5.08702,-1.13431,-1.01901,15.6919,4.43609,0.0101158,0.0183629,-5.13692,0.930193,1.52787,2.78165,-2.52895,-3.03481,0.00114734,-3.76818,-0.477932,-4.17629,-2.21484,1.75479,-0.278135,-7.7361,6.52631,-0.115449,2.57984,-2.96045,-13.283,-65.3735,-85.2647,6.2593,-5.02133,-4.16326,248.308,-46.31,-11.589,-76.5225,9.75374,-3.81483,-0.409375,-269.218,-32.5086,30.68,112.751,-2.34694,-0.0895926,-0.0205486,-13.5189,-59.9836,-153.232,-94.1456,-10.0241,14.9897,-24.8239,37.0286,7.89346,13.276,-2.26302,56.0275,34.916,-33.9359,3.64964,1.44975,2.54322,-3.86426,-67.097,32.3943,-105.111,-10.8383,-36.0843,0.000115194,-89.6762,-29.3019,185.297,125.687,175.13,81.8499,-0.000337924,-65.9738,-26.6134,-19.8518,19.4639,2.3475,9.6096,-76.9076,41.8432,-8.07396,27.1672,-52.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000978592,0.0985768,108.637
