time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.237096,0.124172,0.0906147,0.879515,1.01624,-0.309456,-0.104453,-0.166696,-0.408273,0.418736,-0.217149,0.0657113,-0.00405734,0.839127,0.0501265,-0.225001,1.14965,0.0515936,-0.102158,-0.067829,0.0341066,-0.140833,0.0958158,-0.494216,-0.248976,-0.213134,2.05639,-0.864346,-0.300472,-0.168919,2.07626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554357,0.0672764,0
0.005,-0.238537,0.12856,0.0933668,0.881439,1.01893,-0.309877,-0.130001,-0.167494,-0.416557,0.394061,-0.273505,0.06802,-0.00407116,0.828239,0.0571022,-0.236312,1.0707,0.0553133,-0.0748126,-0.0678138,0.040125,-0.147857,0.0984681,-0.501287,-0.251325,-0.205848,2.07145,-0.883208,-0.300146,-0.179974,2.08683,-0.288145,0.877547,0.550421,0.384823,0.538445,-0.0841318,-5.10956,-0.159692,-1.6569,-4.93502,-11.2713,0.461741,-0.00276261,-2.17759,1.39515,-2.26221,-15.7893,0.743948,5.46916,0.00304244,1.2037,-1.40463,0.530453,-1.41422,-0.469778,1.45719,3.01137,-3.77239,0.0652135,-2.21101,2.11415,43.6004,-153.37,-96.5778,-0.803486,3.68703,5.88832,-5.08896,-32.8417,8.06602,25.7129,2.18567,-1.80882,-0.285261,38.4999,77.8541,-48.679,30.6959,1.39635,0.856951,-0.34333,-11.0165,-18.1751,-84.6963,-43.4359,7.50891,1.28768,-33.7779,26.1825,-4.02231,1.42693,-4.71212,-1.09036,-38.0139,-31.001,-3.63672,-13.9265,-0.248589,104.051,12.435,123.131,216.244,172.869,-248.404,-4.87189e-06,-30.0979,-32.7642,-95.1311,-26.3916,-98.1524,121.455,-1.70723e-05,1.45753,49.2698,8.48683,-4.74684,-5.99393,-9.65531,-31.4084,30.8291,11.1035,19.5961,-27.7891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550377,0.0668731,186.546
0.01,-0.240005,0.131997,0.0953439,0.883272,1.02127,-0.310304,-0.152947,-0.167982,-0.421763,0.374792,-0.32554,0.0641186,-0.00408497,0.816599,0.0632589,-0.250002,0.991092,0.0565792,-0.0444304,-0.0677986,0.04618,-0.153648,0.101333,-0.508477,-0.253824,-0.198803,2.08572,-0.901299,-0.299543,-0.190539,2.09671,-0.293597,0.687477,0.395416,0.366639,0.468813,-0.0853747,-4.58931,-0.0975166,-1.04125,-3.8538,-10.4069,-0.780279,-0.00276263,-2.32808,1.23133,-2.73786,-15.9212,0.253186,6.07644,0.00304235,1.21098,-1.15828,0.572887,-1.43795,-0.499747,1.40891,2.85433,-3.61825,0.120731,-2.11303,1.9752,21.929,-97.4668,-89.87,-1.54748,4.01494,3.47994,0.258495,-12.8387,4.73009,26.5189,1.77875,-1.43471,-0.270375,26.666,61.0336,-35.8487,33.0574,1.6399,0.272795,-0.344182,-17.1691,-10.6293,-80.919,-40.6183,5.63457,-0.065998,-33.3828,25.91,-3.31912,2.14377,-4.37281,-1.46103,-38.7729,-31.0418,-3.46994,-13.9025,0.657333,105.133,12.943,123.647,218.068,175.689,-247.348,-1.63237e-05,-27.9836,-33.8013,-97.6757,-22.9997,-99.3697,121.656,-9.2957e-06,1.74892,49.9859,8.56582,-4.75305,-6.04555,-9.88991,-31.4105,31.2647,11.0372,19.8655,-27.7034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545738,0.0664275,134.491
0.015,-0.241509,0.134465,0.0965449,0.885018,1.02327,-0.310714,-0.173265,-0.168146,-0.423879,0.360975,-0.373182,0.0540335,-0.00409878,0.804259,0.0685705,-0.266133,0.910911,0.0553609,-0.0110068,-0.0677834,0.0522786,-0.15819,0.104411,-0.515785,-0.256474,-0.192006,2.09921,-0.918608,-0.298663,-0.200608,2.10589,-0.300902,0.493613,0.240207,0.349289,0.3993,-0.082088,-4.06364,-0.0328017,-0.423016,-2.76346,-9.52847,-2.01702,-0.00276271,-2.46799,1.06232,-3.22624,-16.0362,-0.243663,6.68472,0.0030423,1.21973,-0.908349,0.615716,-1.46172,-0.529975,1.35946,2.69727,-3.46192,0.175917,-2.0137,1.83668,-0.743583,-50.7757,-82.9191,-2.06572,5.27014,1.24743,3.23439,2.52923,2.48644,27.9844,1.57115,-1.1566,-0.266415,15.6711,44.1474,-25.0356,35.8776,1.79758,-0.262005,-0.346779,-23.6491,-4.79667,-77.7782,-38.033,4.05583,-1.23296,-33.3332,26.3756,-2.727,2.84019,-3.90078,-2.47658,-40.7332,-30.9621,-3.43754,-14.0528,1.48149,108.058,14.4258,125.2,223.13,184.901,-242.986,-4.1884e-05,-21.7303,-36.5783,-105.442,-12.3386,-101.904,123.062,-1.96409e-05,2.46452,51.866,8.58981,-4.72731,-6.14009,-10.515,-31.6482,32.6682,10.7871,20.7882,-27.4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000540037,0.0659342,97.4058
0.02,-0.243076,0.135915,0.0969719,0.886679,1.02491,-0.311088,-0.190882,-0.167949,-0.422864,0.352736,-0.416202,0.0378737,-0.0041126,0.791376,0.0729676,-0.2849,0.830422,0.051595,0.0254934,-0.0677682,0.0584389,-0.161435,0.107704,-0.523212,-0.259277,-0.185471,2.1119,-0.935101,-0.297514,-0.210156,2.11439,-0.313285,0.289947,0.0853963,0.332102,0.329036,-0.0746806,-3.52335,0.0393272,0.202984,-1.64781,-8.60397,-3.23195,-0.00276292,-2.57664,0.879428,-3.75345,-16.0979,-0.753183,7.30003,0.00304221,1.23205,-0.649019,0.658665,-1.48536,-0.560676,1.30689,2.53903,-3.29858,0.229852,-1.90976,1.69943,-23.4042,-14.9338,-76.6728,-2.72996,5.52394,-0.860747,4.48025,13.7861,1.03845,29.8269,1.607,-0.947368,-0.275489,5.19078,28.9521,-16.7242,39.3712,1.83742,-0.713239,-0.349213,-30.236,-1.42552,-75.5685,-35.7745,2.7261,-2.28441,-33.8232,27.7881,-2.19935,3.64533,-3.31235,-3.95344,-43.7802,-30.4378,-3.57341,-14.3496,2.17988,112.663,16.9602,127.649,231.497,202.407,-232.568,-8.30283e-05,-10.6823,-40.8458,-119.381,8.07592,-104.29,127.06,-4.55507e-05,3.286,54.6832,8.17272,-4.57125,-6.28579,-11.6893,-32.5402,35.4928,10.3428,22.7095,-27.1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535342,0.0653869,81.7814
0.025,-0.244741,0.13627,0.0966379,0.88825,1.0262,-0.311407,-0.205682,-0.167328,-0.418657,0.350284,-0.454162,0.0158998,-0.00412642,0.778225,0.0763436,-0.306652,0.750134,0.0452218,0.06517,-0.067753,0.0646813,-0.163313,0.111202,-0.530753,-0.262238,-0.179229,2.12378,-0.950707,-0.296106,-0.219138,2.12221,-0.333053,0.0710461,-0.0667928,0.314235,0.257288,-0.0637812,-2.96004,0.124128,0.84123,-0.490322,-7.59193,-4.39479,-0.00276334,-2.63006,0.675199,-4.35036,-16.0576,-1.27464,7.93533,0.00304198,1.24848,-0.375603,0.699529,-1.50821,-0.592105,1.24844,2.37633,-3.12112,0.281566,-1.79621,1.56387,-48.6873,14.9133,-70.3581,-3.91847,5.3989,-2.82383,5.07732,21.7657,0.0839416,31.6165,1.87923,-0.78083,-0.296188,-7.5185,14.0327,-9.74518,43.9093,1.74418,-1.10708,-0.350425,-37.3885,1.22034,-74.298,-33.8851,1.46225,-3.42386,-35.0473,30.1363,-1.61986,4.67343,-2.5402,-5.4116,-47.107,-28.9685,-3.85391,-14.6411,2.68629,117.791,20.3148,129.697,241.603,226.545,-213.842,-0.000108427,4.12618,-45.4537,-137.676,38.4965,-104.195,134.622,-6.06895e-05,3.41867,57.7921,6.69169,-4.12261,-6.48162,-13.5679,-34.4918,40.008,9.8809,25.6769,-26.9698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000533558,0.0647885,87.1528
0.03,-0.246542,0.135448,0.0955798,0.889725,1.02712,-0.311658,-0.217538,-0.1662,-0.411209,0.353873,-0.486458,-0.0114203,-0.00414023,0.765178,0.0785832,-0.331845,0.670808,0.0362438,0.108212,-0.0677378,0.0710091,-0.163746,0.114867,-0.538397,-0.26536,-0.173326,2.1348,-0.965312,-0.294451,-0.227477,2.12936,-0.360111,-0.164489,-0.211635,0.294965,0.184083,-0.0503497,-2.37108,0.225702,1.48972,0.717693,-6.45921,-5.464,-0.00276388,-2.60943,0.447931,-5.03874,-15.8651,-1.79561,8.60844,0.00304167,1.26557,-0.0866432,0.732987,-1.52882,-0.624513,1.1806,2.20387,-2.92108,0.330971,-1.66783,1.42902,-76.6634,43.2727,-61.3903,-5.64596,4.08157,-3.75691,7.64385,26.0253,-0.58808,32.0724,2.35781,-0.651169,-0.324175,-25.7298,-3.04387,-2.78739,49.6732,1.51062,-1.48728,-0.350847,-44.6553,4.85199,-73.5938,-32.2708,0.121321,-4.79747,-36.9694,33.1807,-0.879946,5.93893,-1.62722,-6.14173,-49.7001,-25.7801,-4.20699,-14.7367,2.91951,121.702,24.0846,128.809,250.379,252,-185.423,-0.00011094,20.5873,-48.6135,-155.612,76.9042,-99.893,144.714,-6.56474e-05,1.97374,60.2636,3.3227,-3.17977,-6.61983,-16.1245,-37.7046,46.1743,9.64335,29.3204,-27.3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534535,0.0642009,107.616
0.035,-0.248496,0.133383,0.0938771,0.891095,1.02767,-0.311837,-0.226351,-0.164469,-0.40054,0.36372,-0.512454,-0.0433759,-0.00415406,0.752646,0.0796076,-0.360929,0.593406,0.0247684,0.154872,-0.0677226,0.0773863,-0.162673,0.118615,-0.546121,-0.268648,-0.167826,2.14488,-0.978763,-0.292555,-0.235083,2.13582,-0.390819,-0.41299,-0.340536,0.27393,0.110399,-0.0357522,-1.76257,0.346125,2.13376,1.96959,-5.19921,-6.39112,-0.00276443,-2.50649,0.204863,-5.8168,-15.4806,-2.29508,9.33201,0.00304135,1.27544,0.214675,0.749601,-1.54472,-0.657612,1.09998,2.01535,-2.69021,0.379187,-1.52123,1.29222,-104.603,69.0707,-48.5568,-7.79723,3.28974,-5.41719,15.1881,25.5685,-1.10372,29.6766,2.98157,-0.565685,-0.352783,-51.4352,-22.6295,4.43151,56.6449,1.1149,-1.85815,-0.351017,-50.8552,8.85431,-73.3023,-30.815,-1.23862,-6.3492,-39.2027,36.5913,-0.0850496,7.23428,-0.68201,-5.55161,-50.6562,-20.0498,-4.55936,-14.4411,2.7732,122.697,27.8021,121.9,254.169,271.301,-147.12,-0.000105014,36.3578,-48.3293,-166.22,119.635,-91.4145,153.614,-7.031e-05,-1.65733,60.9461,-2.85183,-1.53197,-6.44905,-19.0276,-42.1159,53.5565,9.74732,32.9082,-28.4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000539003,0.0636187,134.801
0.04,-0.250589,0.130052,0.0916732,0.89235,1.02786,-0.311947,-0.232096,-0.162043,-0.386824,0.379923,-0.531667,-0.0790095,-0.00416788,0.741022,0.0794236,-0.394169,0.518994,0.0110076,0.205373,-0.0677074,0.0837221,-0.160076,0.122292,-0.553883,-0.272098,-0.162802,2.1539,-0.990876,-0.290416,-0.241866,2.14157,-0.418577,-0.666271,-0.440784,0.251133,0.038194,-0.0218862,-1.14909,0.485136,2.74326,3.24043,-3.84271,-7.12672,-0.00276496,-2.3247,-0.0367837,-6.6479,-14.8824,-2.75215,10.1001,0.003041,1.26716,0.519406,0.735342,-1.55238,-0.689857,1.00484,1.80477,-2.42243,0.427924,-1.35669,1.15008,-132.184,90.9311,-32.2068,-8.74165,2.17559,-6.65019,29.6715,20.4071,-1.56898,23.6375,3.61809,-0.523712,-0.372937,-86.3791,-43.2904,11.6991,65.1606,0.512748,-2.2049,-0.349386,-55.9255,13.1366,-73.4911,-29.4589,-2.51841,-7.96811,-41.3849,40.048,0.609578,8.31147,0.274004,-3.54852,-49.0495,-11.3679,-4.83104,-13.6734,2.21063,119.908,30.682,106.767,250.462,276.682,-100.763,-9.82993e-05,49.4965,-43.0391,-161.876,162.319,-80.1519,155.497,-7.59413e-05,-7.50404,58.6244,-12.3495,0.954105,-5.64711,-21.7111,-47.4309,61.2756,10.1866,35.5055,-30.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545472,0.063001,164.024
0.045,-0.25277,0.125494,0.089185,0.893485,1.02771,-0.312001,-0.234844,-0.158851,-0.370438,0.402386,-0.543964,-0.117162,-0.00418171,0.730636,0.0781637,-0.431455,0.44864,-0.00475692,0.259761,-0.0676922,0.0898703,-0.156013,0.12566,-0.561621,-0.275688,-0.158321,2.16174,-1.00146,-0.288021,-0.247762,2.14657,-0.43632,-0.911518,-0.497624,0.226978,-0.0301731,-0.0108331,-0.54955,0.638546,3.2771,4.49274,-2.4593,-7.63053,-0.00276545,-2.07722,-0.251979,-7.45728,-14.0708,-3.15291,10.8776,0.00304062,1.22964,0.812528,0.673594,-1.54761,-0.718093,0.896284,1.56762,-2.11605,0.478857,-1.17916,0.999899,-158.242,104.983,-16.3389,-7.86879,0.588928,-6.46074,50.9394,12.4272,-2.10981,14.4493,4.06064,-0.509379,-0.374762,-128.838,-59.5737,17.8607,75.4278,-0.32348,-2.43773,-0.343002,-59.997,17.0678,-74.5024,-28.3055,-3.51091,-9.42922,-43.2326,43.22,0.95299,8.8531,1.2577,-0.476909,-44.2032,-0.102686,-4.99587,-12.4829,1.24091,113.566,31.8254,83.5743,238.815,261.637,-51.2065,-9.34896e-05,58.7591,-32.3133,-136.233,200.848,-67.833,143.939,-8.30262e-05,-14.9529,52.3794,-24.8669,4.27297,-3.95054,-23.5743,-53.2309,68.1986,10.88,36.2103,-31.7432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550187,0.0623269,190.874
