time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.218309,0.184858,0.105777,0.896609,1.01145,-0.302196,-0.345849,-0.169692,-0.478273,0.261214,-0.576642,0.0847248,0.012571,0.999651,0.0835002,-0.248977,1.1438,0.0858142,0.00420047,-0.0511797,0.020445,-0.250141,0.154991,-0.410844,-0.28048,-0.0729104,2.21239,-0.978772,-0.355135,-0.114126,2.16054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000650639,0.0576547,0
0.005,-0.223608,0.185592,0.102097,0.897429,1.01271,-0.301867,-0.353379,-0.17346,-0.45594,0.281954,-0.592472,0.0531285,0.0125777,0.984968,0.0847094,-0.257089,1.03867,0.063441,0.0160745,-0.0511451,0.0299088,-0.252505,0.168521,-0.41675,-0.284952,-0.073714,2.22803,-0.992019,-0.353273,-0.122595,2.16774,-1.05969,0.14669,-0.735896,0.163864,0.252819,0.0658571,-1.50588,-0.753707,4.46645,4.14806,-3.16612,-6.31926,0.00135192,-2.93661,0.241829,-1.62256,-21.0259,-4.47464,2.3748,0.00691434,1.89276,-0.472877,2.70596,-1.18102,-0.894533,-0.160708,3.128,-2.64944,0.372439,-1.69371,1.44003,-4.84638,-193.989,-284.57,5.91248,10.6524,17.8287,61.6971,148.115,-15.388,38.7482,2.09542,2.0335,-0.332049,35.8792,282.763,-156.45,119.554,2.27646,5.61975,-0.590797,-77.8821,-49.5698,-94.6684,-49.7067,11.5603,10.549,-57.0814,48.7925,-1.22575,2.74721,-5.14191,37.9884,-91.7677,-6.45267,-5.25285,-13.1434,-0.428052,83.2678,104.806,76.7917,235.286,252.862,-46.5617,-9.17038e-06,-44.1496,-63.9102,-231.302,118.753,-26.661,308.053,-0.0001155,-54.4108,109.091,-34.6229,-5.10232,10.2311,-14.0997,-63.5418,81.3384,20.5708,46.4369,-39.1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000623007,0.0574227,345.111
0.01,-0.227956,0.184031,0.0982563,0.898117,1.01364,-0.301548,-0.358826,-0.174609,-0.431688,0.308577,-0.601981,0.0203682,0.0125845,0.969181,0.0843208,-0.270985,0.936505,0.0404013,0.0356498,-0.0511106,0.0380123,-0.252142,0.181185,-0.422782,-0.289169,-0.07487,2.24208,-1.00323,-0.350896,-0.129902,2.17396,-0.869749,-0.312148,-0.76816,0.1376,0.187102,0.0637169,-1.08954,-0.229676,4.85041,5.32449,-1.90182,-6.55207,0.00135188,-3.15736,-0.0777223,-2.77907,-20.4321,-4.60794,3.91507,0.00691376,1.62071,0.0725797,2.53285,-1.20654,-0.843377,-0.231206,2.81029,-2.24275,0.475293,-1.46152,1.24429,-36.3687,-140.315,-233.94,2.99905,10.179,14.8346,65.2726,116.378,-14.1826,31.3105,2.60876,1.45834,-0.350011,-4.03092,225.48,-109.858,118.245,2.34907,3.71632,-0.537719,-73.3123,-35.1024,-88.5421,-45.276,10.0504,8.68273,-55.7438,48.2331,-0.364177,3.20334,-3.94019,38.2925,-90.057,-5.33996,-4.40293,-12.5635,0.269644,81.9896,103.385,71.1436,232.633,242.446,-43.5854,-2.03057e-05,-42.635,-62.1629,-234.225,124.459,-22.307,309.602,-0.000129497,-54.8099,106.808,-36.0926,-4.84217,10.3564,-13.4088,-63.9485,80.6955,20.4992,45.799,-38.4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606631,0.0570809,275.811
0.015,-0.231348,0.180219,0.094282,0.898695,1.01427,-0.301223,-0.362224,-0.173172,-0.405658,0.341015,-0.605429,-0.0134818,0.0125912,0.952328,0.0823781,-0.290736,0.837456,0.0168039,0.0629652,-0.051076,0.0447456,-0.249109,0.192947,-0.428936,-0.293127,-0.0763613,2.25454,-1.01243,-0.348007,-0.136065,2.17922,-0.678287,-0.762433,-0.794859,0.115586,0.124285,0.0650651,-0.679593,0.287248,5.20612,6.48766,-0.689587,-6.76999,0.00135178,-3.37053,-0.388537,-3.95019,-19.8098,-4.71948,5.46307,0.00691312,1.34666,0.60662,2.35239,-1.23075,-0.791595,-0.29825,2.49055,-1.83927,0.577789,-1.23253,1.05191,-54.019,-82.938,-173.596,1.1905,10.1819,11.6176,76.8598,82.3239,-12.7964,21.3465,2.8523,0.87996,-0.346672,-45.2658,158.66,-67.1843,118.742,2.52013,1.84821,-0.520048,-65.6267,-21.7758,-85.7143,-42.4304,8.57312,6.91954,-54.6686,48.0155,0.5068,3.90212,-2.69837,38.6796,-84.722,-1.76254,-3.61816,-11.8784,0.752176,78.7481,98.9492,55.7556,225.524,210.66,-37.5757,-3.83671e-05,-37.7339,-56.3804,-240.639,141.414,-9.7788,311.961,-0.000151331,-55.7716,100.033,-40.5347,-4.08324,10.7282,-11.4344,-65.0716,79.0212,20.189,44.1677,-36.8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594314,0.0566429,200.431
0.02,-0.233772,0.174289,0.0902637,0.899182,1.01459,-0.300879,-0.363653,-0.169262,-0.378233,0.379091,-0.603611,-0.0482712,0.012598,0.934532,0.0790259,-0.316503,0.741942,-0.00703793,0.0980796,-0.0510414,0.0500846,-0.243575,0.203696,-0.435192,-0.296817,-0.0781384,2.26536,-1.01965,-0.344614,-0.141123,2.18356,-0.484889,-1.18604,-0.803672,0.0974947,0.0648931,0.068826,-0.285853,0.781993,5.4849,7.61527,0.363712,-6.95787,0.00135159,-3.5592,-0.670439,-5.15339,-19.1028,-4.76837,7.02288,0.00691236,1.0678,1.10678,2.14971,-1.25116,-0.737954,-0.355422,2.16519,-1.44417,0.678734,-1.01169,0.86789,-61.2174,-25.7443,-109.462,-0.978565,10.5112,6.44053,97.6838,48.7672,-11.3915,9.08775,2.69988,0.335409,-0.316612,-90.5392,88.5351,-30.6133,121.529,2.65704,0.0965721,-0.534566,-55.0206,-10.5347,-86.6132,-40.9407,7.17183,5.27595,-53.5788,48.2849,1.19382,4.70244,-1.27983,38.5133,-74.9402,5.39982,-2.91655,-11.0404,0.815754,74.3159,90.6451,29.7348,214.186,153.972,-30.3153,-6.81318e-05,-27.826,-44.7487,-246.219,171.853,11.2624,310.647,-0.000181408,-56.7608,87.6785,-49.0982,-2.58183,11.3606,-7.86329,-66.9038,76.2835,19.5755,41.4865,-34.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000585498,0.0561808,128.628
0.025,-0.235234,0.166485,0.0863803,0.899597,1.01464,-0.300514,-0.363225,-0.163086,-0.350065,0.422523,-0.597943,-0.0838184,0.0126047,0.916041,0.074555,-0.348425,0.650724,-0.0305982,0.14096,-0.0510069,0.0540046,-0.235849,0.213217,-0.441512,-0.300223,-0.0801121,2.27451,-1.02496,-0.340731,-0.145145,2.18705,-0.292322,-1.56074,-0.776673,0.082912,0.00969099,0.0729047,0.0857266,1.23522,5.63358,8.6862,1.13357,-7.10945,0.00135124,-3.69833,-0.894182,-6.38449,-18.2435,-4.71206,8.57612,0.00691145,0.783995,1.54518,1.90422,-1.26407,-0.681151,-0.394738,1.83067,-1.06275,0.776611,-0.804257,0.69674,-68.8723,27.4053,-48.9956,-4.2682,13.2528,-0.942088,125.552,18.4683,-10.0785,-4.1587,2.19799,-0.15471,-0.265249,-143.003,21.367,-1.05894,126.987,2.54669,-1.46667,-0.568706,-44.1301,-1.38575,-91.1186,-40.4123,5.82572,3.69744,-52.1799,49.0952,1.53614,5.46366,0.554879,36.5625,-60.9636,16.5675,-2.39651,-10.0613,0.34306,70.6428,78.2915,-5.13696,200.405,78.999,-22.8126,-8.78155e-05,-12.0663,-26.5025,-242.428,213.7,36.5727,297.786,-0.000184897,-56.6853,70.0079,-62.0199,-0.259754,12.1823,-2.79994,-69.0953,72.804,18.552,37.9922,-31.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581662,0.0557324,89.9431
0.03,-0.235781,0.157157,0.0829111,0.899951,1.01444,-0.300141,-0.36103,-0.154953,-0.322026,0.470964,-0.5903,-0.119936,0.0126115,0.897247,0.0694215,-0.386408,0.564849,-0.0532442,0.191285,-0.0509723,0.0565074,-0.226373,0.221187,-0.447839,-0.303324,-0.0821557,2.28194,-1.02846,-0.336384,-0.148216,2.18975,-0.10951,-1.86556,-0.693836,0.0709294,-0.0406154,0.07462,0.43894,1.62668,5.60789,9.68823,1.52856,-7.22351,0.00135081,-3.75866,-1.02669,-7.59663,-17.175,-4.5292,10.065,0.00691053,0.500568,1.89522,1.59412,-1.26537,-0.62024,-0.408738,1.4852,-0.698728,0.869371,-0.614296,0.541362,-87.5424,76.1392,1.43456,-3.47853,9.09331,-0.122468,157.401,-5.78747,-9.12424,-17.0114,1.55356,-0.567855,-0.206419,-203.557,-35.2518,20.9405,135.077,1.94479,-2.74433,-0.600433,-37.3895,9.62781,-97.6848,-40.3948,4.42044,2.09226,-50.6765,50.33,1.62622,6.17506,2.97857,31.7877,-43.0976,31.0338,-2.13862,-9.11172,-0.651205,69.7037,61.6903,-45.4562,186.289,-0.412037,-13.8787,-6.67512e-05,8.62314,-2.29447,-219.622,260.903,58.7631,264.208,-0.000149041,-54.527,48.0521,-77.9646,2.7067,13.1604,3.24189,-71.1838,69.1786,16.7765,34.166,-27.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584293,0.0551225,116.438
0.035,-0.235534,0.146752,0.0802178,0.900252,1.01401,-0.299784,-0.357093,-0.145277,-0.295123,0.524062,-0.582667,-0.156401,0.0126183,0.87867,0.0642307,-0.429882,0.485497,-0.0744211,0.248216,-0.0509378,0.0576471,-0.215696,0.227209,-0.454098,-0.306096,-0.0841184,2.28759,-1.03022,-0.331617,-0.150433,2.19177,0.0494288,-2.08105,-0.538667,0.0602363,-0.086174,0.071364,0.787459,1.93513,5.38061,10.6197,1.5265,-7.29291,0.00135047,-3.71555,-1.03817,-8.69474,-15.8705,-4.23538,11.3861,0.00690978,0.227933,2.13548,1.2043,-1.25184,-0.554438,-0.392528,1.12928,-0.352835,0.953254,-0.443466,0.402572,-115.732,110.656,34.6071,0.629099,1.57915,4.13911,190.372,-23.0327,-8.70924,-28.6885,1.05651,-0.908315,-0.157053,-267.49,-72.4225,35.0133,145.118,0.69453,-3.60605,-0.604448,-34.7592,20.2936,-104.525,-40.3837,3.23385,0.768682,-48.7939,51.6892,1.23412,6.50574,5.8886,24.2083,-22.2156,46.8383,-2.21338,-8.22466,-2.17001,72.5348,40.8209,-86.3871,173.003,-69.3662,-1.4103,-5.85598e-05,31.6507,25.6563,-170.472,305.225,70.3067,203.132,-0.000142452,-49.6306,23.1468,-94.2524,5.9441,14.3878,9.50564,-72.8225,66.0497,13.7957,30.5152,-24.6128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000595054,0.0543985,163.879
0.04,-0.234682,0.135791,0.0786954,0.900498,1.01337,-0.299482,-0.351342,-0.134581,-0.270379,0.581485,-0.576769,-0.1929,0.012625,0.860883,0.0596812,-0.477617,0.413775,-0.0938404,0.310225,-0.0509032,0.057546,-0.20444,0.230874,-0.460209,-0.308509,-0.0858434,2.29141,-1.03033,-0.326506,-0.151888,2.19316,0.17047,-2.19213,-0.304475,0.0491694,-0.127297,0.060514,1.15013,2.13923,4.94868,11.4847,1.17967,-7.29996,0.00135018,-3.55729,-0.909886,-9.5471,-14.3444,-3.88385,12.4017,0.00690907,-0.0202203,2.25121,0.733037,-1.22212,-0.482499,-0.345,0.765167,-0.0225868,1.02223,-0.29089,0.279508,-148.772,120.928,43.7983,2.70766,-3.00354,4.5053,220.574,-32.6249,-9.04611,-38.1617,0.909016,-1.17278,-0.129335,-327.502,-82.7805,41.8097,156.674,-1.24025,-3.94266,-0.555655,-35.3375,26.7894,-110.107,-40.1436,2.59601,0.0936686,-46.4616,52.8083,0.135764,6.17064,8.97855,14.7263,0.0580347,61.0858,-2.68993,-7.40834,-4.04922,78.5674,16.6406,-122.374,160.529,-116.728,16.1609,-6.60657e-05,53.1905,53.5709,-92.9555,339.081,66.8209,113.239,-0.000161433,-42.3525,-2.73376,-107.617,8.99903,15.9736,15.0708,-73.9197,63.9881,9.28198,27.5744,-21.8468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614105,0.0538193,196.753
0.045,-0.233461,0.124832,0.0787002,0.900677,1.01255,-0.29928,-0.343627,-0.123469,-0.248695,0.642922,-0.573789,-0.228996,0.0126318,0.844427,0.0564711,-0.527677,0.35053,-0.111589,0.375064,-0.0508687,0.0563861,-0.193252,0.231849,-0.466094,-0.310522,-0.0871916,2.29339,-1.02885,-0.321163,-0.152653,2.19401,0.244102,-2.19184,0.000953815,0.0357198,-0.164339,0.0402679,1.54297,2.22244,4.3368,12.2873,0.596035,-7.21915,0.00134985,-3.29134,-0.642031,-10.0119,-12.649,-3.54974,12.9679,0.00690826,-0.231983,2.23754,0.194952,-1.17712,-0.402631,-0.269646,0.395568,0.297353,1.06864,-0.153018,0.170274,-176.599,105.258,29.5434,0.100454,-6.70851,0.815973,245.146,-35.7329,-10.1377,-45.0841,1.23742,-1.38026,-0.129722,-374.824,-66.0764,43.258,168.453,-3.70137,-3.75687,-0.438793,-37.0935,27.8096,-113.128,-39.6033,2.6007,0.142787,-43.9578,53.4212,-1.55822,5.19685,11.8523,5.04399,21.5135,71.0331,-3.51838,-6.7254,-5.93446,85.8234,-8.77125,-148.768,147.892,-136.313,39.0136,-8.05236e-05,69.5011,76.6643,7.72753,358.179,49.2262,0.143566,-0.000195443,-33.9703,-26.995,-115.217,11.5022,17.9515,18.8856,-74.5671,63.2975,3.26523,25.7419,-19.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064066,0.0533795,207.809
