Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
355,0.0163358,0.02896,0.0118301,0.0228548,0.024719,0.0105977,0.0181744,0.0271488,0.02624,0.0114503,0.0103059,0.0229277,0.0038866,0.00430917,0.00739796,0.0198021,0.0256092,0.0156424,0.0179461,0.024094,0.018239,0.0378917,0.0310519,0.00227022,0.017212,0.0201023,0.0127271,0.0297956,0.0545623,0.0467602,0.0217105,0.0306582,0.0282158,0.0297767,0.00872503,0.0392274,0.0141966,0.0148102,0.0168677,0.0118202,0.0224816,0.0229281,0.0218253,0.0180032,0.0180939,0.0155675
356,0.0163616,0.0280246,0.0126509,0.0240061,0.0245203,0.0124894,0.0182167,0.0266981,0.026417,0.0117717,0.0109409,0.0230015,0.00371552,0.00295777,0.00721347,0.0208994,0.0255765,0.0170395,0.0193149,0.023767,0.0188213,0.0378613,0.0314141,0.00223437,0.0172756,0.0201449,0.0134333,0.0298481,0.0551546,0.0468125,0.0219476,0.0315991,0.0292645,0.0288929,0.00994406,0.0400918,0.0147786,0.0159045,0.0172727,0.0131166,0.0236026,0.0239793,0.0229671,0.0181434,0.0185255,0.0174618
357,0.0160825,0.0269159,0.0136163,0.025769,0.0246157,0.0147461,0.0186692,0.0262116,0.0265482,0.0123208,0.0122275,0.0228508,0.00347815,0.00226389,0.00719079,0.0223486,0.0252997,0.0190749,0.0208335,0.0233522,0.0194999,0.0378729,0.0317924,0.00211391,0.017223,0.0204705,0.0140872,0.030012,0.0558606,0.0467702,0.0221868,0.0324095,0.0301019,0.0288752,0.0114377,0.0408197,0.0141463,0.0157164,0.0162835,0.0132071,0.0246652,0.025173,0.0240108,0.0182208,0.0188819,0.019579
358,0.01575,0.0257228,0.0146425,0.0277944,0.0248901,0.0174481,0.019495,0.025731,0.0266261,0.0130389,0.0140237,0.0224238,0.00443961,0.00463355,0.00704244,0.0242006,0.0249935,0.0216143,0.0217832,0.0228935,0.0200862,0.0380073,0.0321571,0.00226501,0.0170782,0.0210305,0.0147841,0.0302831,0.0566305,0.0467453,0.0224377,0.0331963,0.0312446,0.0294028,0.0127458,0.04146,0.0119514,0.0140524,0.0140196,0.0121432,0.0256336,0.0262301,0.0250097,0.018304,0.019282,0.0206911
359,0.0155569,0.0244673,0.0157694,0.0294186,0.0250446,0.0202317,0.0203883,0.0253427,0.026604,0.0138851,0.0155127,0.0215447,0.00582998,0.00813242,0.00701965,0.0266814,0.0247031,0.024515,0.0220435,0.0225535,0.0206025,0.038336,0.0325181,0.00281524,0.0168766,0.021612,0.015658,0.0307241,0.0574486,0.0467621,0.0226629,0.0337982,0.0326725,0.0291777,0.0143654,0.0420419,0.00981164,0.0117293,0.0115597,0.0103294,0.0263628,0.0270199,0.0259568,0.0184587,0.0197001,0.020467
360,0.0157199,0.0232132,0.016859,0.0299946,0.0249617,0.022505,0.0210465,0.0249747,0.0264786,0.0147401,0.0167961,0.0201405,0.00880956,0.0121689,0.00751662,0.0298278,0.0244385,0.0278574,0.0219029,0.0227188,0.0210268,0.0387521,0.0327942,0.00361366,0.0167154,0.0221167,0.0167352,0.0312737,0.0582545,0.0467828,0.0229133,0.0342858,0.0341301,0.0292568,0.0162182,0.042481,0.00879555,0.0105009,0.0108057,0.00884429,0.0267986,0.027285,0.0266111,0.0187669,0.0200899,0.0201414
361,0.0161283,0.0220621,0.0176206,0.0292377,0.0247646,0.0239052,0.0213075,0.0244969,0.0263606,0.015552,0.0180847,0.0184215,0.0132305,0.016658,0.0086914,0.0333252,0.024234,0.0316328,0.0214149,0.0232246,0.0213174,0.0391989,0.03295,0.00460996,0.0165373,0.0227187,0.0180736,0.0320113,0.0591,0.0467733,0.0232887,0.0345196,0.0355774,0.0294788,0.0181286,0.0429458,0.00929302,0.0120377,0.0131441,0.0091348,0.0267291,0.0270067,0.0267724,0.0191135,0.020388,0.0199023
362,0.0166934,0.021109,0.0181768,0.027325,0.0245836,0.0244859,0.0210383,0.0243311,0.0263142,0.0162978,0.0192847,0.0167574,0.0179524,0.0214798,0.010232,0.0368288,0.023937,0.0354705,0.0209828,0.0240818,0.021601,0.0397447,0.0329661,0.00558372,0.0164097,0.0234159,0.0195715,0.0327753,0.0599475,0.046738,0.0238175,0.0346062,0.0370596,0.0295688,0.0200496,0.0434962,0.0109454,0.0160695,0.0172823,0.011564,0.0262393,0.0262254,0.026253,0.0192834,0.0204782,0.019047
363,0.0172447,0.0203998,0.0186554,0.0252363,0.0243504,0.0246513,0.0205666,0.0243825,0.0262572,0.0169773,0.020287,0.0157656,0.0224668,0.0264479,0.0120147,0.03975,0.0234554,0.0388239,0.0210864,0.0251282,0.021926,0.0403511,0.0328724,0.00651252,0.016399,0.0240613,0.0211201,0.0336002,0.0606672,0.0466495,0.0244031,0.0347558,0.03844,0.0296912,0.0220043,0.0440181,0.0130423,0.0211098,0.0213671,0.0147153,0.0252488,0.0250304,0.0251423,0.0191898,0.0203108,0.0170828
364,0.0178106,0.019952,0.0189659,0.023605,0.0241363,0.0250363,0.0205597,0.0245316,0.0261976,0.0175512,0.0210909,0.0157858,0.0259537,0.0313327,0.0137792,0.0418791,0.0228392,0.0415171,0.0214039,0.0258961,0.0220726,0.040874,0.0326358,0.00722123,0.0163413,0.0246478,0.0226613,0.0343909,0.061256,0.0464872,0.0250077,0.0349642,0.0395798,0.0298793,0.0239953,0.0443696,0.0150923,0.025845,0.0245854,0.01765,0.0239996,0.023533,0.0236588,0.0189853,0.0198457,0.015606
