Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0175881,0.0291052,0.0282077,0.0307686,0.0297561,0.0273649,0.0358139,0.0297281,0.0170846,0.0370587,0.0259376,0.0381488,0.021102,0.0220656,0.0185696,0.0238653,0.0249016,0.0244448,0.0218706,0.0433141,0.0338357,0.0744189,0.045143,0.0291141,0.0233499,0.0796961,0.0318796,0.116779,0.129479,0.0361637,0.0289073,0.0314807,0.0322911,0.0285556,0.0278442,0.0370898,0.018355,0.0238908,0.023052,0.0175169,0.0221922,0.0219981,0.0206104,0.0205924,0.0192697,0.0313639
0,0.0294042,0.0568024,0.00666393,0.0524101,0.0130443,0.0342011,0.0385414,0.0282489,0.0320934,0.0369638,0.01841,0.0345562,0.0273421,0.0269673,0.0252735,0.0300298,0.0305897,0.0348578,0.0332567,0.0501493,0.0419467,0.0816852,0.043359,0.0249792,0.0441435,0.0579818,0.0266273,0.090109,0.0874274,0.0628652,0.0403447,0.0182993,0.0418842,0.0146579,0.0194264,0.0222947,0.0170412,0.0198832,0.0177151,0.0160001,0.00592347,0.00451328,0.00536173,0.011565,0.00956001,0.0187742
1,0.0288562,0.0554569,0.00595512,0.0480256,0.0113141,0.0306464,0.0326152,0.0275243,0.0322359,0.0367073,0.0183782,0.0297438,0.0252866,0.0244909,0.0226816,0.0277919,0.0287256,0.0336164,0.0312395,0.0500997,0.0411785,0.0810352,0.0418983,0.0231019,0.0432134,0.0571592,0.026165,0.0892801,0.0870342,0.0620737,0.0402301,0.0189741,0.0419499,0.0141584,0.0158388,0.0237408,0.013371,0.0160177,0.0131074,0.0126943,0.00671817,0.00612623,0.00640224,0.00891604,0.00783285,0.0164116
2,0.0282865,0.0541772,0.00520433,0.044641,0.011663,0.0287663,0.0291015,0.0268352,0.0322664,0.0364509,0.018608,0.0266501,0.0247477,0.023598,0.0213463,0.025857,0.0270429,0.0320399,0.0297552,0.0493759,0.0403882,0.0804555,0.0406136,0.0211646,0.0423209,0.0564989,0.0258097,0.0885957,0.0868798,0.0611934,0.0399304,0.0198497,0.0424799,0.0136218,0.0146426,0.0253809,0.0107778,0.0132731,0.0091673,0.0109299,0.00776795,0.00786427,0.00765488,0.0066335,0.00643835,0.0139541
3,0.0278262,0.0528424,0.00443324,0.0417281,0.0123635,0.0277688,0.02766,0.0262368,0.032154,0.0362396,0.0190704,0.0247071,0.0246758,0.0238884,0.0208404,0.0243542,0.0254645,0.0303515,0.0288808,0.0480916,0.0395424,0.0799341,0.0394553,0.0192426,0.0412378,0.0560427,0.0255971,0.0880915,0.0869767,0.0601335,0.0395562,0.0208725,0.0427798,0.0139526,0.0145831,0.0269947,0.00866094,0.0114863,0.00576827,0.0106652,0.00885318,0.00943784,0.00912012,0.00497072,0.0058668,0.0129862
4,0.0274907,0.051342,0.00407433,0.0392635,0.013219,0.0272935,0.0278912,0.0258507,0.0319087,0.0361035,0.0197015,0.0229436,0.0250441,0.0244806,0.0209446,0.02363,0.0250512,0.0287088,0.0282542,0.0465381,0.0386927,0.0794999,0.0384519,0.0173887,0.0400886,0.0556892,0.0255233,0.087798,0.0872173,0.0589313,0.0392173,0.0219767,0.0428824,0.014906,0.0156295,0.028545,0.00687248,0.0095901,0.00257663,0.0102073,0.00988582,0.0108816,0.0107301,0.00483529,0.00636153,0.0143596
5,0.0271849,0.049799,0.00466468,0.037277,0.0139137,0.027544,0.0292673,0.0256061,0.0316828,0.0360682,0.0204977,0.0208427,0.0254345,0.0245694,0.021702,0.02453,0.0262788,0.0275701,0.0275553,0.0446664,0.0380019,0.0792236,0.0375776,0.0156314,0.0388353,0.0553552,0.0256231,0.0877468,0.0875561,0.0577894,0.0389795,0.0231095,0.043696,0.0161604,0.0172542,0.0300341,0.00518252,0.00661446,0.00149035,0.00864322,0.010769,0.0121653,0.0122724,0.00610616,0.00750543,0.0147776
6,0.0270131,0.0481702,0.00599559,0.0356969,0.0146921,0.0285127,0.0309997,0.0253178,0.0313852,0.0361761,0.0214324,0.0188001,0.0252218,0.0245273,0.022734,0.0275443,0.0282664,0.0276392,0.0266931,0.0430915,0.0375151,0.0792021,0.0367768,0.0139847,0.0376113,0.0550874,0.025982,0.0879329,0.0879541,0.0567465,0.0388031,0.0242696,0.0444495,0.0178867,0.0190967,0.0315002,0.00434872,0.00261982,0.00547068,0.00602273,0.0114204,0.0131901,0.0135906,0.00768448,0.00880059,0.0144766
7,0.02751,0.0465068,0.00759858,0.0341849,0.0152131,0.029953,0.032471,0.0254656,0.0310563,0.0364197,0.0224036,0.0167848,0.0245667,0.0253305,0.0234383,0.0320865,0.0306171,0.0292356,0.0258077,0.0420511,0.0372559,0.0793204,0.0360142,0.0125571,0.0365133,0.0549048,0.0267155,0.088152,0.0884638,0.0557445,0.0386743,0.0253331,0.0450562,0.020056,0.0212209,0.0328284,0.00517651,0.00361716,0.0100923,0.00496187,0.0119984,0.0142459,0.0144116,0.00902659,0.0100546,0.0142647
8,0.0279272,0.044843,0.00908371,0.0323434,0.0150462,0.0311176,0.0332957,0.0258247,0.0306653,0.0367754,0.0233732,0.0143356,0.024006,0.0275084,0.0235992,0.0370733,0.0327976,0.0316726,0.0247242,0.0416863,0.037167,0.079581,0.0352644,0.011446,0.035621,0.0548082,0.0276269,0.0883844,0.0890616,0.0547466,0.0386068,0.026283,0.0455384,0.022141,0.0235688,0.0339355,0.0068468,0.00893919,0.0147875,0.00738405,0.0124959,0.0150389,0.0145626,0.0100802,0.0111569,0.0144176
