Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0243071,0.0189098,0.020484,0.0192906,0.0288479,0.0162256,0.0163291,0.0258008,0.0151349,0.0106453,0.0130925,0.0338894,0.0168627,0.014492,0.0092538,0.0236052,0.0211052,0.0224345,0.0181631,0.0219225,0.0205752,0.030603,0.034533,0.011917,0.0116786,0.0109238,0.0124987,0.0217174,0.0336152,0.0525997,0.0166198,0.0299721,0.0347068,0.020541,0.0241565,0.0358552,0.0114207,0.0177841,0.0166807,0.0121538,0.0186246,0.0186993,0.01842,0.0174748,0.016791,0.0193316
0,0.0402284,0.0347349,0.0176144,0.0331783,0.0178052,0.0167181,0.0205051,0.0326942,0.0186959,0.00906773,0.00990532,0.0261593,0.0211999,0.016875,0.0129636,0.0170021,0.0173986,0.0174417,0.018227,0.0256346,0.0217655,0.0197931,0.0390644,0.0142842,0.0180136,0.019081,0.0216968,0.033555,0.0293427,0.0672764,0.0217493,0.0216683,0.032904,0.0221435,0.0211363,0.0260749,0.0109686,0.0141569,0.0130975,0.0100057,0.0180642,0.0166781,0.00999747,0.0164866,0.011485,0.00953407
1,0.0406056,0.0344106,0.0175091,0.0325444,0.0171503,0.0175168,0.0200183,0.0326912,0.0190487,0.00905911,0.00991844,0.0231957,0.0202296,0.0169407,0.0125477,0.0174665,0.018154,0.0187601,0.0190356,0.0257141,0.0219725,0.019652,0.0384287,0.0138153,0.017573,0.0190103,0.0216208,0.0338026,0.0297259,0.0668731,0.0214974,0.0218862,0.0321444,0.0222573,0.0195844,0.0267071,0.0112975,0.0143742,0.0130956,0.0104688,0.0185799,0.0169629,0.0112056,0.0170582,0.0122955,0.00921627
2,0.0408931,0.0338342,0.0172142,0.0320204,0.0167308,0.0184486,0.0197984,0.0325946,0.0193239,0.00898326,0.00990588,0.0206308,0.0191781,0.0166832,0.012572,0.0182567,0.0192928,0.0196248,0.0198326,0.0255286,0.0224085,0.0193639,0.037897,0.0132999,0.0170287,0.0187421,0.0214085,0.0339843,0.0300339,0.0664275,0.0212578,0.0222011,0.0309621,0.0224452,0.0182501,0.027436,0.0113148,0.0140821,0.0129907,0.0105333,0.0190308,0.0178481,0.0122945,0.0172481,0.0126649,0.00901434
3,0.0409954,0.033005,0.0168434,0.0314012,0.0167006,0.0194597,0.019447,0.0323217,0.0194677,0.00880032,0.00992171,0.0185854,0.0180571,0.0159862,0.0127714,0.0194623,0.0207146,0.0204275,0.020644,0.0250381,0.0229301,0.0189854,0.0373919,0.0127358,0.016439,0.0183596,0.0211277,0.0340073,0.030415,0.0659342,0.0210239,0.0225007,0.0296527,0.0227885,0.0169862,0.0283344,0.0109467,0.0133253,0.0126561,0.0101956,0.0193483,0.0188421,0.0133096,0.0172193,0.0125755,0.0094074
4,0.0409663,0.0319897,0.0164239,0.0309668,0.0167382,0.0205627,0.0188034,0.0319945,0.0197146,0.00860611,0.00999946,0.016997,0.0169923,0.0148057,0.0134164,0.0211504,0.0222526,0.0214982,0.0214147,0.0242706,0.0233823,0.0186581,0.0368903,0.0121896,0.0157749,0.0179573,0.0207662,0.0338406,0.0309631,0.0653869,0.0207561,0.022894,0.0286232,0.0234174,0.0157134,0.0294336,0.00995218,0.0121598,0.0121019,0.00917126,0.0193942,0.0196559,0.0142804,0.0170324,0.012423,0.0107526
5,0.0409979,0.0308339,0.0158891,0.0305412,0.0164672,0.0218491,0.0184209,0.0316422,0.0200679,0.00847987,0.0101589,0.0158083,0.0161006,0.0132184,0.0143655,0.0232133,0.0235639,0.0229487,0.0221885,0.0232871,0.0238864,0.0183757,0.0364015,0.011713,0.0150004,0.0175253,0.020313,0.0336136,0.0315871,0.0647885,0.0204594,0.0236595,0.0281874,0.02439,0.0148014,0.0309075,0.00833201,0.0104509,0.0111447,0.0073939,0.0190358,0.0199771,0.0153823,0.0168422,0.0122446,0.0127621
6,0.0410997,0.0295712,0.0153807,0.0303164,0.015706,0.0232912,0.0182759,0.0312665,0.0203216,0.00839001,0.010521,0.0149155,0.0153364,0.0114306,0.0152502,0.0255014,0.0244229,0.0245055,0.022907,0.0220594,0.0244526,0.0180974,0.0358884,0.0113271,0.014225,0.0171367,0.0198554,0.0334285,0.0322135,0.0642009,0.0200762,0.0249534,0.0283103,0.0253633,0.0146414,0.0326369,0.00643053,0.00808394,0.00972135,0.00536105,0.0188066,0.019477,0.0165468,0.0161842,0.0121967,0.0148992
7,0.0411478,0.0282331,0.0151218,0.030259,0.0146724,0.0250161,0.0183732,0.0309082,0.0203876,0.00838247,0.0109865,0.0141965,0.0148374,0.00984165,0.0161395,0.0278493,0.0251374,0.0262393,0.0233747,0.0207881,0.0250147,0.0178777,0.0353877,0.0109744,0.0134886,0.0167432,0.0194094,0.0332117,0.0327862,0.0636187,0.0196522,0.0262793,0.028815,0.0261012,0.0151585,0.0340088,0.00532818,0.00534623,0.00801363,0.00406067,0.0188634,0.0194025,0.0176564,0.0153445,0.0124481,0.0167689
8,0.041176,0.0269415,0.0151705,0.0302714,0.013715,0.0266553,0.0185916,0.0305302,0.0203658,0.00845283,0.0114547,0.0135585,0.0154688,0.00912414,0.0168385,0.030124,0.0256027,0.028129,0.0233498,0.01953,0.02558,0.0177686,0.0349738,0.0106115,0.0127645,0.0163463,0.0190733,0.0329489,0.0333241,0.063001,0.0191952,0.027102,0.0294254,0.0264939,0.0160431,0.0350445,0.00549758,0.00304405,0.00664993,0.00435772,0.0191209,0.0198402,0.0186218,0.0147558,0.0129425,0.0173718
