Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0179647,0.0226843,0.0327576,0.0420893,0.0488126,0.0255958,0.0309428,0.0543409,0.0474227,0.168278,0.0567291,0.0417103,0.0227691,0.023607,0.0168525,0.0237272,0.0214529,0.0278704,0.0226476,0.0703384,0.278978,0.271553,0.035563,0.0579241,0.0345266,0.100829,0.0368698,0.142727,0.154888,0.0451366,0.0238919,0.0362173,0.0457517,0.0311711,0.0274662,0.0319912,0.0207463,0.0255323,0.0231235,0.0207113,0.0191779,0.020013,0.0191772,0.0192642,0.017643,0.0410498
0,0.0430408,0.0341959,0.0313162,0.0360992,0.0735911,0.0432274,0.051608,0.0776486,0.0556116,0.15513,0.0933393,0.0385117,0.0360393,0.034297,0.028761,0.0111141,0.015843,0.0180528,0.0277495,0.0610697,0.272616,0.255927,0.0283809,0.0591706,0.0367927,0.0600937,0.0373775,0.0864869,0.100419,0.0695971,0.0285891,0.0323493,0.0693549,0.0457991,0.048503,0.0362552,0.0309728,0.0217077,0.0322114,0.0194743,0.0243612,0.023244,0.0243092,0.0280061,0.0261336,0.0712414
1,0.0417316,0.0346563,0.0310664,0.0314771,0.0753612,0.0445072,0.0496247,0.0806551,0.0570983,0.151307,0.0959504,0.0412667,0.0347719,0.0334941,0.0276261,0.0152304,0.0183594,0.0182287,0.0277504,0.0500339,0.270757,0.251611,0.027093,0.0598871,0.0376722,0.0635339,0.0370963,0.0894625,0.104063,0.0683787,0.0266174,0.0334644,0.0704919,0.0474039,0.0499087,0.038242,0.0321701,0.0224023,0.0331293,0.0204599,0.0243137,0.0228603,0.0241266,0.0279317,0.0260446,0.0727333
2,0.0404224,0.0350991,0.0307484,0.0275341,0.0772634,0.0449736,0.0505174,0.0827421,0.0589026,0.147979,0.098033,0.0425042,0.03467,0.03411,0.0282163,0.0198032,0.0215228,0.0203339,0.0289841,0.0432133,0.269132,0.247846,0.0257985,0.0601688,0.0376049,0.0667741,0.0366691,0.0925827,0.10695,0.0673139,0.0250132,0.034095,0.0716163,0.0483063,0.0506463,0.0400374,0.0331957,0.0229029,0.0342143,0.0217842,0.0245044,0.0227313,0.0242057,0.0281449,0.0261056,0.0741713
3,0.0391921,0.0354737,0.0305675,0.0270602,0.0791813,0.0426988,0.0522428,0.0833885,0.06025,0.145511,0.099084,0.0423377,0.0352412,0.0355244,0.0299416,0.0232689,0.0251393,0.0235702,0.0312931,0.0410157,0.268016,0.24496,0.0244507,0.0599942,0.0366952,0.0695939,0.0359209,0.09548,0.108887,0.0664342,0.0237297,0.0346418,0.0722292,0.0487982,0.0507313,0.0418233,0.0341781,0.0232716,0.0356738,0.0230467,0.0250779,0.0229106,0.0244662,0.0285837,0.0261216,0.075152
4,0.037884,0.0356658,0.0306852,0.0265414,0.0811255,0.0363292,0.0505106,0.082598,0.061695,0.144168,0.0986681,0.0417836,0.0353238,0.0370118,0.0307756,0.0262628,0.0288649,0.0272624,0.0343359,0.0406686,0.267763,0.243247,0.02269,0.0595566,0.0353618,0.0718362,0.0347021,0.0980808,0.111081,0.065766,0.0228002,0.0351506,0.0722005,0.0490346,0.050204,0.0436634,0.0354693,0.0240122,0.0368914,0.0236922,0.0259419,0.023317,0.0248181,0.029317,0.0263739,0.0754952
5,0.0365514,0.0354785,0.0312651,0.0248563,0.0830358,0.0290031,0.0463141,0.0818786,0.063525,0.143681,0.097729,0.0411623,0.0336842,0.0363143,0.0282625,0.0291707,0.0326529,0.0310212,0.0370077,0.0403581,0.268163,0.242899,0.020879,0.058966,0.0343125,0.0737079,0.0328453,0.100327,0.113651,0.0653351,0.022314,0.0352119,0.0718161,0.0490804,0.0492601,0.0453072,0.0370641,0.0253962,0.0379504,0.0250979,0.0270824,0.023878,0.0253147,0.0303336,0.0269948,0.0752847
6,0.0351444,0.0349701,0.0323106,0.0224417,0.0851402,0.0243764,0.042763,0.081678,0.0658677,0.143955,0.0967022,0.0404901,0.0312391,0.0324596,0.0221256,0.0314538,0.0360887,0.0338417,0.0393923,0.0408881,0.269938,0.244041,0.019317,0.0583305,0.0332153,0.075318,0.0306489,0.102306,0.11654,0.0651277,0.0223324,0.0343632,0.0710843,0.0489187,0.0481184,0.046574,0.0387495,0.0274707,0.0391401,0.027623,0.0283889,0.0245985,0.0260145,0.0317906,0.0279586,0.0750279
7,0.0341579,0.0344063,0.0338382,0.02017,0.087446,0.021479,0.0392136,0.0819349,0.0685896,0.145784,0.0959046,0.0401417,0.0287891,0.0278774,0.0153884,0.0328196,0.0388386,0.0360901,0.0415997,0.0417114,0.272626,0.246668,0.0179184,0.0576958,0.0323585,0.0768635,0.0289101,0.104202,0.1186,0.0650078,0.0228367,0.0347402,0.0702489,0.0487235,0.0469189,0.0477586,0.0404284,0.0298836,0.0404845,0.0306379,0.0300132,0.0255695,0.0270065,0.0333709,0.0290888,0.075039
8,0.0336803,0.033896,0.035473,0.0189739,0.0887366,0.0186594,0.0353501,0.0830338,0.070841,0.149383,0.095673,0.0408455,0.0254223,0.0250964,0.0116823,0.0343466,0.0406374,0.0386582,0.0434657,0.0432282,0.275988,0.250629,0.0167842,0.0571824,0.0317899,0.0783155,0.0279155,0.106067,0.119974,0.0648013,0.0237489,0.0362909,0.0696205,0.0483693,0.0457209,0.0491728,0.0420262,0.0322337,0.0418821,0.0335032,0.0315355,0.0266881,0.0282346,0.0346198,0.0302235,0.0751079
