Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0219183,0.0256673,0.018621,0.0186523,0.031172,0.0173878,0.016848,0.0255311,0.0191227,0.0155744,0.0140204,0.0324868,0.0164475,0.0151185,0.0104721,0.021518,0.019627,0.021846,0.0177313,0.0246802,0.0178913,0.0437831,0.0338786,0.0111453,0.0102787,0.0147687,0.0142788,0.0230603,0.0396193,0.0521793,0.0217157,0.02849,0.0326311,0.0215874,0.0217748,0.0350827,0.011355,0.0176796,0.0162083,0.0122299,0.018208,0.0178963,0.0178677,0.0178629,0.0166322,0.0184891
0,0.0265648,0.0421556,0.0111095,0.0280777,0.0282793,0.00697423,0.0234913,0.0259196,0.0120219,0.0140437,0.00827213,0.0453564,0.0156017,0.0121994,0.0099546,0.0265751,0.0270113,0.0262738,0.0234822,0.0358879,0.0109853,0.0413274,0.0355282,0.0169169,0.0227907,0.0184105,0.017616,0.0296828,0.0253275,0.0652546,0.0359596,0.0246277,0.0355233,0.00509829,0.00993749,0.0279505,0.0214275,0.0215255,0.0216541,0.0211627,0.0142204,0.0216709,0.0247614,0.0154723,0.0214627,0.0159042
1,0.0269734,0.041931,0.010683,0.028902,0.027719,0.00738022,0.022493,0.0259138,0.0115176,0.0136221,0.00716784,0.0443063,0.0168245,0.0126776,0.00973501,0.0249785,0.0251964,0.0247199,0.0222709,0.0341926,0.0110029,0.0409648,0.0354342,0.0162036,0.0223824,0.0181682,0.0171712,0.0292707,0.0255764,0.0655494,0.0350537,0.0252999,0.033632,0.00456764,0.00903312,0.0265322,0.0189272,0.0191718,0.0192001,0.0189763,0.0114644,0.0190649,0.02131,0.0126422,0.0187814,0.0133614
2,0.027555,0.0417796,0.0101729,0.0295503,0.0272549,0.00814936,0.0209592,0.0261025,0.011342,0.0131801,0.00626092,0.0431159,0.018296,0.0134614,0.00985838,0.023155,0.0230927,0.0233595,0.0210676,0.0329823,0.0111818,0.0405193,0.0355585,0.0156948,0.021931,0.0183706,0.0168189,0.0290368,0.0258374,0.0660012,0.034238,0.025502,0.0322666,0.00495423,0.00895268,0.0255219,0.0171761,0.0172526,0.0173947,0.0172472,0.00902097,0.0172067,0.0190138,0.0100112,0.0164174,0.0114115
3,0.0281466,0.0416608,0.00956796,0.0299025,0.0268882,0.00903362,0.0193427,0.0263863,0.0112645,0.0127552,0.00555004,0.0417246,0.0199069,0.0144234,0.010417,0.0213299,0.0209975,0.021911,0.0198756,0.0322316,0.0114316,0.0400757,0.0360151,0.0151468,0.0214736,0.0185309,0.0166043,0.0290206,0.0262406,0.0660962,0.0336474,0.0253653,0.0313811,0.00541039,0.00924227,0.0247929,0.0157569,0.0156406,0.01599,0.0158494,0.00698672,0.0154609,0.0180571,0.00751,0.0140138,0.00996111
4,0.0287151,0.0415138,0.00892233,0.0300058,0.0262269,0.00983573,0.0193463,0.0266545,0.0113671,0.0123712,0.00514311,0.040176,0.021371,0.0155383,0.0113946,0.0195078,0.0190941,0.0203144,0.0186946,0.0316235,0.0116503,0.0395456,0.0364989,0.0146284,0.0210074,0.0186245,0.0165519,0.0291193,0.026787,0.0655455,0.0332937,0.0248197,0.0307041,0.00580528,0.00993509,0.0239824,0.0145495,0.0144928,0.014958,0.0147014,0.00574798,0.0129402,0.0164853,0.00519703,0.0115762,0.00896412
5,0.0293191,0.0411258,0.00847282,0.0302318,0.0254721,0.0106289,0.0193123,0.0270157,0.0114922,0.0120195,0.00508324,0.0387024,0.0225489,0.0165092,0.0124224,0.0178143,0.0173552,0.0188124,0.0176051,0.0307877,0.011823,0.0389907,0.0368894,0.0142023,0.0205888,0.0187552,0.0166408,0.0293029,0.027318,0.0652875,0.0330579,0.0243187,0.0303614,0.00624252,0.011202,0.0233013,0.013646,0.0140638,0.0143657,0.0138078,0.00585109,0.00988879,0.0143785,0.00319859,0.00923382,0.00849187
6,0.0301336,0.0406029,0.00850438,0.0309082,0.0247615,0.0113547,0.0191769,0.0274088,0.0120346,0.0116614,0.00522172,0.0373177,0.0232273,0.0170416,0.0132343,0.0162302,0.0158025,0.0173134,0.016658,0.0300281,0.0120456,0.0384465,0.0370926,0.0137781,0.0202969,0.0189633,0.0168396,0.0295127,0.0279286,0.0652855,0.0328432,0.0238381,0.0303294,0.00696945,0.0129692,0.0229622,0.0131072,0.0142118,0.0140758,0.0132615,0.00744917,0.00817836,0.0127517,0.00303045,0.00735611,0.00881612
7,0.0312994,0.0407995,0.00877779,0.0314659,0.0240406,0.0119591,0.0191253,0.02769,0.0128247,0.0113002,0.00540511,0.0360461,0.0234467,0.0171908,0.0139804,0.0146635,0.0144534,0.0158835,0.0159059,0.0294163,0.0122932,0.0379369,0.0369832,0.013374,0.0200743,0.0191481,0.0170553,0.029769,0.028575,0.0652585,0.0325313,0.0233929,0.0305768,0.00826097,0.0149809,0.0229053,0.0129302,0.0146176,0.013906,0.0130283,0.00991052,0.00657629,0.0130908,0.00528885,0.0065528,0.00956464
8,0.0320047,0.0407883,0.00793357,0.0319689,0.0233127,0.0125399,0.0190762,0.0279749,0.0135779,0.0109667,0.00558197,0.0347132,0.0233866,0.0171288,0.0147899,0.0132668,0.0133742,0.0149002,0.0153513,0.0289096,0.012488,0.0373436,0.036763,0.0129978,0.019896,0.0193217,0.0172718,0.03006,0.0291137,0.0650813,0.0320647,0.0228753,0.031007,0.0102262,0.0174676,0.0229364,0.01278,0.0147861,0.013635,0.0128537,0.0126215,0.0106146,0.0160893,0.00818581,0.00708378,0.00990734
