Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0126999,0.027478,0.0273006,0.0198599,0.0323545,0.0175691,0.0219123,0.0210441,0.0181264,0.0241188,0.0168565,0.0367255,0.0153508,0.0149126,0.0115128,0.0214875,0.019831,0.0237946,0.0190284,0.0286618,0.0171038,0.0602482,0.0402391,0.0201,0.0236334,0.0587479,0.0203097,0.0915502,0.106517,0.0404779,0.0245226,0.0320599,0.0287532,0.023464,0.0200561,0.0366772,0.0134184,0.0196739,0.0176606,0.0141683,0.0190234,0.0187621,0.0181335,0.0181109,0.0167572,0.0200407
0,0.0217021,0.030753,0.021072,0.0210349,0.0154936,0.0127405,0.00728937,0.0254417,0.0253772,0.0412509,0.033417,0.0157771,0.0110995,0.00958837,0.00933128,0.0307256,0.0235777,0.0274774,0.0172109,0.0203598,0.0152397,0.090225,0.0398305,0.0058372,0.0195987,0.0380169,0.028009,0.0577517,0.07853,0.051232,0.0279315,0.0356293,0.0410292,0.02422,0.0290549,0.0408526,0.0118048,0.0181001,0.0250906,0.00925405,0.0176265,0.018179,0.0205431,0.0156932,0.0173905,0.0175201
1,0.0222802,0.0296669,0.0216944,0.0173572,0.0158799,0.0119463,0.00245492,0.0265868,0.0247689,0.0423117,0.0354183,0.0125713,0.0166727,0.011922,0.00873498,0.0350106,0.0247462,0.0307601,0.0159769,0.0203483,0.0156579,0.0910878,0.0396022,0.00723733,0.0193433,0.0389452,0.0293506,0.0590958,0.0800348,0.0503705,0.0278726,0.0358795,0.0410516,0.024821,0.0288539,0.0415534,0.0118295,0.0228112,0.0265698,0.0121773,0.0166644,0.0165505,0.0185013,0.0164989,0.0173038,0.0153529
2,0.0228649,0.0290368,0.0219541,0.0148747,0.0163088,0.0128729,0.00346815,0.0274354,0.0244281,0.0435067,0.0366784,0.0103753,0.0199029,0.0146552,0.00902911,0.0380502,0.0256792,0.0334811,0.0162231,0.0214807,0.0163382,0.0920654,0.0392433,0.00846222,0.0190405,0.0396644,0.0306171,0.0602743,0.0812172,0.0496462,0.0280348,0.0360132,0.041618,0.0252686,0.0290674,0.0420873,0.0126142,0.0265671,0.0273909,0.0150062,0.0160994,0.0152342,0.0167544,0.0170897,0.0172504,0.0146192
3,0.0233761,0.028937,0.0218044,0.0138997,0.0164149,0.0135645,0.00458069,0.0279244,0.0242144,0.0447974,0.0372111,0.0100684,0.0206784,0.0165013,0.00951035,0.0396663,0.0262793,0.0361074,0.0162869,0.022329,0.0171586,0.0930956,0.0388253,0.00942972,0.0185194,0.0402522,0.0317427,0.0611544,0.0821251,0.0490622,0.028406,0.0359835,0.0420817,0.0254929,0.0292035,0.0421646,0.0134682,0.0287144,0.027617,0.0167641,0.015347,0.0139334,0.0154073,0.0173796,0.0170664,0.0147863
4,0.0236354,0.0292018,0.0213677,0.0147983,0.0157384,0.0139317,0.00518878,0.0278689,0.0239698,0.0454078,0.0369835,0.0116586,0.0205257,0.0169714,0.00950563,0.039447,0.0260613,0.0389295,0.0164969,0.0219229,0.0178443,0.0941338,0.0384697,0.0101332,0.0177095,0.0406892,0.0321989,0.0618105,0.082809,0.0486255,0.0288549,0.0356725,0.0420843,0.025489,0.0288799,0.0416229,0.0138912,0.0291399,0.0270743,0.0172591,0.0142342,0.012549,0.0143696,0.0173476,0.0167017,0.015195
5,0.0238382,0.0293406,0.020652,0.0166311,0.0150716,0.0140598,0.00567086,0.0274038,0.0236485,0.0453222,0.0360173,0.0142265,0.0194235,0.0162216,0.00896783,0.0373555,0.0245114,0.0406309,0.017166,0.0205934,0.0184142,0.0951017,0.038236,0.0106103,0.016904,0.0410104,0.0322177,0.0625542,0.083262,0.0483292,0.029265,0.0350713,0.0416158,0.0251357,0.0282476,0.0407353,0.0136189,0.028161,0.0258497,0.0168169,0.0128105,0.0109839,0.0132743,0.0170295,0.0160393,0.0159665
6,0.0239887,0.0298403,0.019799,0.0177446,0.0150857,0.0137258,0.00586235,0.0266284,0.0233005,0.0453544,0.034446,0.0163071,0.0176919,0.0146193,0.00831031,0.0338461,0.0223878,0.0402358,0.0181021,0.0197473,0.0188651,0.0960164,0.0381416,0.0109134,0.0166207,0.0413221,0.0317356,0.0631671,0.0835896,0.0481647,0.0295598,0.0341931,0.0407651,0.0246077,0.0278304,0.0398217,0.0126764,0.0265778,0.0242211,0.0159205,0.0112014,0.00938422,0.0120977,0.0163918,0.0150878,0.0168278
7,0.0240095,0.0307007,0.0189894,0.0178824,0.0154511,0.0131223,0.00556687,0.0255494,0.0228525,0.045496,0.0324312,0.017231,0.0154385,0.012517,0.00765647,0.030141,0.02092,0.0379137,0.0186539,0.0195773,0.0191703,0.0968723,0.0381897,0.0111153,0.0161632,0.0416832,0.03091,0.0635641,0.0838139,0.0480826,0.0296754,0.0329431,0.0396925,0.0240942,0.0277222,0.038998,0.0111904,0.0247767,0.0224002,0.0148034,0.00952232,0.0076894,0.0109305,0.0152059,0.0139724,0.0174603
8,0.0238223,0.0317489,0.0175082,0.0174064,0.0158509,0.0125956,0.00517871,0.0242712,0.0223213,0.0456273,0.0300799,0.0173595,0.0129871,0.0102717,0.00704982,0.0271231,0.0207062,0.0348149,0.0186487,0.0198497,0.0195281,0.097719,0.0384441,0.0110567,0.0155023,0.0417801,0.0297645,0.0638678,0.0839362,0.0480753,0.0296366,0.0313419,0.038609,0.0237987,0.0272008,0.0383631,0.00969742,0.0229609,0.0203037,0.013466,0.00771758,0.00613812,0.00957832,0.0136632,0.0128149,0.0184429
