/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.162977	0.951659	0.018674	0.027326	0.717373	0.098510	0.088747	0.021686	0.013301	0.030195
0.158453	0.947453	0.018746	0.027492	0.723106	0.100468	0.090207	0.021574	0.013113	0.029668
0.154501	0.942909	0.018810	0.027668	0.729228	0.102438	0.091658	0.021483	0.012935	0.029169
0.151130	0.938038	0.018865	0.027851	0.735732	0.104414	0.093098	0.021414	0.012767	0.028696
0.148343	0.932856	0.018912	0.028039	0.742601	0.106389	0.094526	0.021369	0.012612	0.028251
0.146147	0.927390	0.018949	0.028232	0.749813	0.108355	0.095937	0.021348	0.012471	0.027834
0.144545	0.921659	0.018976	0.028426	0.757344	0.110305	0.097328	0.021351	0.012344	0.027447
0.143542	0.915681	0.018993	0.028620	0.765172	0.112232	0.098691	0.021379	0.012232	0.027092
0.143140	0.909476	0.018998	0.028811	0.773274	0.114131	0.100019	0.021432	0.012136	0.026771
0.143341	0.903070	0.018993	0.028997	0.781619	0.115997	0.101304	0.021510	0.012057	0.026484
0.144146	0.896508	0.018977	0.029178	0.790178	0.117831	0.102535	0.021611	0.011997	0.026232
0.145557	0.889848	0.018950	0.029354	0.798914	0.119632	0.103702	0.021736	0.011955	0.026018
0.147573	0.883160	0.018912	0.029525	0.807792	0.121405	0.104794	0.021884	0.011932	0.025843
0.150194	0.876521	0.018865	0.029691	0.816768	0.123153	0.105801	0.022052	0.011929	0.025707
0.153418	0.870006	0.018807	0.029855	0.825789	0.124881	0.106714	0.022240	0.011945	0.025611
0.157242	0.863687	0.018739	0.030016	0.834797	0.126595	0.107523	0.022446	0.011981	0.025557
0.161661	0.857626	0.018660	0.030174	0.843727	0.128295	0.108222	0.022668	0.012038	0.025546
0.166670	0.851877	0.018570	0.030330	0.852512	0.129985	0.108805	0.022906	0.012114	0.025578
0.172259	0.846482	0.018469	0.030482	0.861088	0.131662	0.109268	0.023158	0.012210	0.025655
0.178420	0.841473	0.018357	0.030631	0.869398	0.133326	0.109610	0.023424	0.012326	0.025777
0.185139	0.836877	0.018235	0.030776	0.877397	0.134972	0.109830	0.023704	0.012461	0.025947
0.192400	0.832705	0.018104	0.030918	0.885045	0.136597	0.109927	0.023997	0.012614	0.026163
0.200187	0.828962	0.017963	0.031056	0.892304	0.138191	0.109901	0.024304	0.012786	0.026428
0.208478	0.825639	0.017813	0.031189	0.899148	0.139747	0.109751	0.024623	0.012976	0.026741
