/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
-0.377735	0.071377	0.002189	-0.000061	-0.218269	0.009696	-0.031356	0.000563	-0.003153	0.007968
-0.316357	0.080060	0.002447	0.000530	-0.191484	0.010043	-0.027620	0.000845	-0.002460	0.010126
-0.256220	0.088975	0.002704	0.001115	-0.165050	0.010388	-0.023953	0.001130	-0.001776	0.012270
-0.197569	0.098105	0.002959	0.001690	-0.139062	0.010731	-0.020371	0.001419	-0.001103	0.014392
-0.140626	0.107438	0.003211	0.002254	-0.113601	0.011070	-0.016888	0.001709	-0.000444	0.016488
-0.085583	0.116961	0.003460	0.002805	-0.088729	0.011405	-0.013515	0.002001	0.000201	0.018550
-0.032601	0.126663	0.003704	0.003342	-0.064496	0.011734	-0.010261	0.002295	0.000829	0.020576
0.018197	0.136533	0.003943	0.003863	-0.040943	0.012057	-0.007133	0.002591	0.001439	0.022561
0.066721	0.146561	0.004175	0.004367	-0.018095	0.012373	-0.004136	0.002888	0.002032	0.024504
0.112914	0.156735	0.004400	0.004853	0.004032	0.012682	-0.001273	0.003187	0.002606	0.026402
0.156751	0.167040	0.004617	0.005319	0.025433	0.012982	0.001455	0.003487	0.003163	0.028255
0.198226	0.177462	0.004824	0.005766	0.046108	0.013273	0.004050	0.003790	0.003702	0.030061
0.237352	0.187983	0.005021	0.006193	0.066060	0.013553	0.006510	0.004094	0.004223	0.031820
0.274145	0.198586	0.005208	0.006601	0.085295	0.013822	0.008839	0.004401	0.004727	0.033530
0.308628	0.209255	0.005382	0.006990	0.103819	0.014079	0.011039	0.004710	0.005213	0.035190
0.340825	0.219978	0.005543	0.007361	0.121643	0.014321	0.013111	0.005022	0.005682	0.036799
0.370765	0.230744	0.005691	0.007715	0.138783	0.014548	0.015059	0.005337	0.006135	0.038356
0.398490	0.241548	0.005826	0.008053	0.155258	0.014758	0.016885	0.005655	0.006572	0.039861
0.424049	0.252388	0.005947	0.008375	0.171087	0.014950	0.018594	0.005977	0.006993	0.041315
0.447505	0.263266	0.006055	0.008683	0.186289	0.015122	0.020188	0.006304	0.007399	0.042718
0.468927	0.274184	0.006150	0.008977	0.200881	0.015272	0.021674	0.006635	0.007792	0.044072
0.488394	0.285147	0.006233	0.009259	0.214880	0.015400	0.023055	0.006971	0.008171	0.045376
0.505994	0.296160	0.006303	0.009528	0.228301	0.015504	0.024338	0.007312	0.008538	0.046633
0.521822	0.307226	0.006361	0.009786	0.241160	0.015581	0.025527	0.007660	0.008894	0.047844
0.535982	0.318349	0.006407	0.010034	0.253471	0.015632	0.026630	0.008013	0.009240	0.049012
0.548583	0.329529	0.006443	0.010273	0.265250	0.015656	0.027652	0.008372	0.009575	0.050137
0.559736	0.340766	0.006468	0.010502	0.276510	0.015654	0.028601	0.008737	0.009902	0.051224
0.569556	0.352059	0.006483	0.010724	0.287266	0.015626	0.029484	0.009108	0.010220	0.052274
0.578156	0.363414	0.006488	0.010939	0.297532	0.015576	0.030305	0.009485	0.010531	0.053291
0.585643	0.374836	0.006484	0.011149	0.307322	0.015505	0.031073	0.009868	0.010836	0.054279
0.592117	0.386337	0.006472	0.011353	0.316654	0.015415	0.031791	0.010256	0.011135	0.055239
0.597673	0.397925	0.006453	0.011553	0.325548	0.015310	0.032466	0.010649	0.011428	0.056175
0.602398	0.409606	0.006428	0.011750	0.334024	0.015191	0.033101	0.011048	0.011718	0.057089
0.606377	0.421383	0.006397	0.011945	0.342099	0.015061	0.033703	0.011451	0.012003	0.057984
0.609690	0.433254	0.006362	0.012137	0.349791	0.014923	0.034275	0.011859	0.012286	0.058859
0.612413	0.445214	0.006324	0.012328	0.357118	0.014779	0.034821	0.012273	0.012567	0.059715
0.614623	0.457253	0.006283	0.012517	0.364096	0.014630	0.035343	0.012691	0.012847	0.060553
0.616396	0.469361	0.006242	0.012705	0.370744	0.014480	0.035846	0.013115	0.013125	0.061371
0.617802	0.481521	0.006200	0.012892	0.377078	0.014330	0.036330	0.013544	0.013402	0.062169
0.618907	0.493714	0.006159	0.013077	0.383110	0.014183	0.036799	0.013978	0.013679	0.062944
0.619768	0.505916	0.006119	0.013261	0.388853	0.014039	0.037252	0.014416	0.013955	0.063695
