/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
-0.000556	0.235801	0.067183	-0.023399	-0.006777	0.030748	0.019038	0.104960	0.055044	0.252681
-0.000060	0.251280	0.076313	-0.003147	-0.003946	0.032723	0.022626	0.118282	0.079077	0.263386
0.000448	0.266666	0.085332	0.016786	-0.001170	0.034777	0.026316	0.131417	0.102704	0.274101
0.000967	0.281899	0.094205	0.036321	0.001541	0.036909	0.030107	0.144292	0.125809	0.284793
0.001499	0.296915	0.102899	0.055385	0.004176	0.039120	0.033994	0.156835	0.148282	0.295427
0.002042	0.311647	0.111379	0.073909	0.006724	0.041406	0.037976	0.168985	0.170021	0.305969
0.002596	0.326024	0.119616	0.091830	0.009176	0.043769	0.042051	0.180687	0.190935	0.316382
0.003161	0.339972	0.127577	0.109093	0.011524	0.046204	0.046220	0.191889	0.210944	0.326632
0.003738	0.353416	0.135236	0.125650	0.013761	0.048712	0.050481	0.202543	0.229973	0.336682
0.004327	0.366280	0.142568	0.141460	0.015881	0.051288	0.054836	0.212598	0.247954	0.346497
0.004929	0.378491	0.149550	0.156490	0.017882	0.053931	0.059286	0.222003	0.264824	0.356037
0.005543	0.389978	0.156163	0.170713	0.019758	0.056637	0.063832	0.230710	0.280529	0.365264
0.006171	0.400683	0.162391	0.184109	0.021511	0.059404	0.068477	0.238675	0.295031	0.374133
0.006812	0.410556	0.168222	0.196667	0.023139	0.062228	0.073225	0.245869	0.308304	0.382603
0.007468	0.419562	0.173646	0.208383	0.024645	0.065105	0.078079	0.252280	0.320337	0.390626
0.008139	0.427680	0.178656	0.219256	0.026032	0.068032	0.083045	0.257910	0.331128	0.398156
0.008824	0.434902	0.183246	0.229294	0.027302	0.071006	0.088127	0.262779	0.340692	0.405144
0.009524	0.441233	0.187412	0.238505	0.028460	0.074028	0.093331	0.266913	0.349061	0.411539
0.010240	0.446684	0.191149	0.246903	0.029507	0.077097	0.098660	0.270347	0.356293	0.417295
0.010971	0.451276	0.194456	0.254499	0.030447	0.080213	0.104121	0.273111	0.362459	0.422365
0.011717	0.455028	0.197334	0.261308	0.031282	0.083377	0.109715	0.275241	0.367638	0.426713
0.012478	0.457959	0.199785	0.267342	0.032014	0.086589	0.115446	0.276769	0.371909	0.430309
0.013254	0.460083	0.201812	0.272616	0.032645	0.089850	0.121313	0.277732	0.375349	0.433128
0.014044	0.461410	0.203419	0.277141	0.033178	0.093162	0.127317	0.278169	0.378036	0.435150
0.014849	0.461947	0.204614	0.280926	0.033615	0.096525	0.133456	0.278121	0.380042	0.436366
0.015669	0.461701	0.205408	0.283982	0.033961	0.099940	0.139728	0.277634	0.381437	0.436788
0.016501	0.460681	0.205813	0.286319	0.034219	0.103404	0.146130	0.276753	0.382289	0.436446
0.017346	0.458900	0.205842	0.287952	0.034396	0.106919	0.152658	0.275528	0.382664	0.435388
0.018203	0.456374	0.205509	0.288898	0.034497	0.110482	0.159303	0.274006	0.382625	0.433669
0.019071	0.453129	0.204831	0.289179	0.034528	0.114092	0.166057	0.272238	0.382237	0.431343
0.019948	0.449194	0.203821	0.288824	0.034497	0.117748	0.172910	0.270273	0.381565	0.428467
0.020832	0.444605	0.202495	0.287864	0.034409	0.121448	0.179850	0.268159	0.380674	0.425095
0.021721	0.439406	0.200866	0.286334	0.034272	0.125189	0.186862	0.265945	0.379629	0.421277
0.022615	0.433648	0.198945	0.284273	0.034092	0.128968	0.193935	0.263680	0.378493	0.417064
0.023509	0.427384	0.196742	0.281723	0.033874	0.132784	0.201053	0.261408	0.377328	0.412500
0.024402	0.420674	0.194264	0.278725	0.033625	0.136632	0.208205	0.259175	0.376188	0.407629
0.025291	0.413576	0.191520	0.275324	0.033350	0.140509	0.215378	0.257022	0.375130	0.402493
0.026173	0.406146	0.188518	0.271560	0.033053	0.144408	0.222561	0.254988	0.374201	0.397134
0.027044	0.398440	0.185269	0.267476	0.032739	0.148323	0.229739	0.253110	0.373448	0.391593
0.027903	0.390506	0.181788	0.263108	0.032413	0.152245	0.236899	0.251420	0.372911	0.385909
0.028745	0.382387	0.178089	0.258494	0.032078	0.156167	0.244023	0.249949	0.372628	0.380121
0.029568	0.374125	0.174193	0.253664	0.031738	0.160082	0.251091	0.248723	0.372631	0.374267
0.030369	0.365752	0.170119	0.248649	0.031396	0.163983	0.258082	0.247764	0.372945	0.368383
