/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.144182	0.017541	0.000972	0.002377	0.001388	0.017074	-0.026944	0.082542	-0.051690	-0.005986
0.149147	0.018625	0.001164	0.002947	0.001888	0.018475	-0.021580	0.085443	-0.033340	-0.002650
0.154159	0.019710	0.001357	0.003515	0.002380	0.019867	-0.016300	0.088329	-0.015384	0.000615
0.159205	0.020792	0.001549	0.004076	0.002862	0.021245	-0.011123	0.091184	0.002102	0.003792
0.164269	0.021868	0.001741	0.004631	0.003333	0.022604	-0.006064	0.093993	0.019045	0.006869
0.169337	0.022936	0.001931	0.005178	0.003790	0.023940	-0.001140	0.096743	0.035380	0.009833
0.174388	0.023991	0.002120	0.005715	0.004232	0.025249	0.003634	0.099418	0.051049	0.012672
0.179405	0.025031	0.002306	0.006240	0.004657	0.026524	0.008245	0.102006	0.066001	0.015377
0.184366	0.026053	0.002489	0.006752	0.005064	0.027762	0.012682	0.104491	0.080191	0.017938
0.189250	0.027052	0.002669	0.007250	0.005452	0.028959	0.016937	0.106860	0.093582	0.020349
0.194036	0.028027	0.002845	0.007733	0.005820	0.030112	0.021004	0.109100	0.106143	0.022606
0.198702	0.028974	0.003017	0.008201	0.006167	0.031218	0.024880	0.111203	0.117853	0.024706
0.203230	0.029889	0.003184	0.008653	0.006493	0.032276	0.028564	0.113160	0.128698	0.026648
0.207600	0.030772	0.003347	0.009088	0.006797	0.033285	0.032052	0.114969	0.138665	0.028435
0.211796	0.031621	0.003506	0.009508	0.007080	0.034243	0.035345	0.116627	0.147752	0.030068
0.215799	0.032435	0.003660	0.009910	0.007341	0.035149	0.038441	0.118135	0.155962	0.031552
0.219591	0.033215	0.003809	0.010296	0.007580	0.036003	0.041337	0.119496	0.163306	0.032890
0.223153	0.033961	0.003953	0.010664	0.007797	0.036803	0.044035	0.120711	0.169798	0.034088
0.226463	0.034671	0.004092	0.011014	0.007993	0.037551	0.046534	0.121784	0.175453	0.035149
