/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.045045	0.036409	0.002466	0.002455	-0.012526	-0.033285	0.045748	-0.007647	0.050001	-0.000028
0.059828	0.038239	0.002752	0.003186	-0.011061	-0.025023	0.048581	0.008746	0.058651	0.001657
0.074714	0.040127	0.003032	0.003906	-0.009623	-0.016932	0.051435	0.024803	0.067185	0.003316
0.089669	0.042070	0.003306	0.004614	-0.008217	-0.009040	0.054298	0.040452	0.075563	0.004940
0.104658	0.044065	0.003573	0.005305	-0.006846	-0.001378	0.057156	0.055621	0.083749	0.006525
0.119648	0.046110	0.003832	0.005977	-0.005515	0.006027	0.060001	0.070244	0.091708	0.008064
0.134606	0.048202	0.004082	0.006627	-0.004228	0.013148	0.062825	0.084263	0.099405	0.009552
0.149500	0.050337	0.004324	0.007253	-0.002987	0.019964	0.065619	0.097625	0.106810	0.010984
0.164304	0.052511	0.004555	0.007851	-0.001795	0.026453	0.068374	0.110282	0.113889	0.012354
0.178989	0.054720	0.004775	0.008421	-0.000654	0.032600	0.071081	0.122195	0.120612	0.013659
0.193532	0.056959	0.004985	0.008958	0.000437	0.038391	0.073728	0.133329	0.126951	0.014896
0.207911	0.059223	0.005183	0.009463	0.001478	0.043817	0.076306	0.143657	0.132877	0.016064
0.222105	0.061508	0.005369	0.009933	0.002468	0.048874	0.078802	0.153153	0.138367	0.017161
0.236095	0.063810	0.005544	0.010369	0.003407	0.053563	0.081206	0.161798	0.143398	0.018184
0.249862	0.066124	0.005706	0.010769	0.004296	0.057889	0.083509	0.169576	0.147956	0.019134
0.263389	0.068448	0.005856	0.011134	0.005135	0.061857	0.085703	0.176484	0.152033	0.020007
0.276658	0.070775	0.005992	0.011464	0.005926	0.065474	0.087778	0.182531	0.155625	0.020804
0.289649	0.073101	0.006115	0.011759	0.006669	0.068746	0.089731	0.187734	0.158733	0.021523
0.302345	0.075422	0.006225	0.012020	0.007364	0.071681	0.091556	0.192123	0.161360	0.022162
0.314732	0.077735	0.006322	0.012248	0.008012	0.074286	0.093248	0.195730	0.163513	0.022721
0.326800	0.080038	0.006408	0.012445	0.008616	0.076573	0.094804	0.198593	0.165199	0.023200
0.338542	0.082333	0.006482	0.012613	0.009175	0.078551	0.096223	0.200747	0.166426	0.023601
0.349954	0.084619	0.006545	0.012755	0.009693	0.080235	0.097501	0.202229	0.167208	0.023924
0.361031	0.086897	0.006598	0.012872	0.010171	0.081637	0.098639	0.203073	0.167562	0.024174
0.371767	0.089168	0.006643	0.012967	0.010611	0.082771	0.099637	0.203314	0.167512	0.024353
0.382153	0.091434	0.006678	0.013041	0.011017	0.083653	0.100495	0.202988	0.167081	0.024465
0.392174	0.093696	0.006706	0.013097	0.011390	0.084296	0.101219	0.202129	0.166294	0.024514
0.401816	0.095954	0.006726	0.013135	0.011732	0.084715	0.101813	0.200773	0.165172	0.024503
0.411063	0.098207	0.006738	0.013157	0.012048	0.084925	0.102282	0.198954	0.163738	0.024436
0.419904	0.100455	0.006743	0.013166	0.012338	0.084943	0.102629	0.196708	0.162011	0.024316
0.428328	0.102694	0.006741	0.013161	0.012606	0.084782	0.102857	0.194068	0.160012	0.024147
0.436336	0.104920	0.006732	0.013145	0.012854	0.084456	0.102970	0.191068	0.157760	0.023932
0.443931	0.107130	0.006716	0.013118	0.013084	0.083977	0.102971	0.187741	0.155274	0.023677
0.451127	0.109318	0.006694	0.013083	0.013299	0.083358	0.102864	0.184122	0.152574	0.023385
0.457940	0.111477	0.006665	0.013040	0.013501	0.082609	0.102655	0.180242	0.149678	0.023059
0.464394	0.113604	0.006629	0.012992	0.013691	0.081740	0.102348	0.176134	0.146606	0.022703
0.470514	0.115694	0.006588	0.012939	0.013872	0.080760	0.101947	0.171829	0.143376	0.022321
0.476325	0.117746	0.006540	0.012884	0.014045	0.079681	0.101455	0.167357	0.140009	0.021916
0.481851	0.119760	0.006486	0.012827	0.014212	0.078512	0.100876	0.162748	0.136522	0.021492
0.487111	0.121735	0.006426	0.012770	0.014375	0.077263	0.100213	0.158029	0.132936	0.021053
0.492119	0.123673	0.006362	0.012715	0.014536	0.075943	0.099470	0.153227	0.129267	0.020602
0.496885	0.125576	0.006293	0.012662	0.014695	0.074559	0.098649	0.148366	0.125535	0.020143
0.501412	0.127448	0.006220	0.012612	0.014854	0.073119	0.097755	0.143467	0.121755	0.019678
0.505699	0.129291	0.006143	0.012567	0.015015	0.071631	0.096793	0.138552	0.117945	0.019212
0.509742	0.131110	0.006063	0.012526	0.015179	0.070102	0.095769	0.133639	0.114120	0.018748
0.513527	0.132906	0.005980	0.012490	0.015347	0.068537	0.094689	0.128743	0.110294	0.018288
0.517036	0.134681	0.005895	0.012459	0.015522	0.066945	0.093560	0.123878	0.106481	0.017836
0.520246	0.136436	0.005808	0.012434	0.015704	0.065331	0.092388	0.119057	0.102691	0.017394
0.523130	0.138167	0.005720	0.012416	0.015898	0.063702	0.091181	0.114291	0.098936	0.016966
0.525660	0.139870	0.005632	0.012405	0.016105	0.062065	0.089945	0.109590	0.095223	0.016554
0.527812	0.141541	0.005542	0.012400	0.016330	0.060427	0.088688	0.104962	0.091559	0.016160
0.529562	0.143172	0.005452	0.012404	0.016574	0.058795	0.087415	0.100414	0.087952	0.015786
0.530897	0.144756	0.005361	0.012415	0.016842	0.057176	0.086130	0.095955	0.084405	0.015434
0.531809	0.146287	0.005271	0.012435	0.017135	0.055574	0.084838	0.091588	0.080924	0.015108
0.532295	0.147758	0.005181	0.012463	0.017457	0.053997	0.083543	0.087321	0.077512	0.014810
0.532362	0.149164	0.005091	0.012499	0.017812	0.052449	0.082246	0.083157	0.074171	0.014543
0.532024	0.150500	0.005001	0.012544	0.018202	0.050934	0.080951	0.079101	0.070906	0.014307
0.531302	0.151765	0.004913	0.012597	0.018632	0.049458	0.079659	0.075157	0.067719	0.014106
0.530221	0.152959	0.004825	0.012658	0.019104	0.048023	0.078373	0.071326	0.064611	0.013942
0.528812	0.154083	0.004739	0.012726	0.019624	0.046632	0.077096	0.067612	0.061587	0.013816
0.527104	0.155139	0.004655	0.012802	0.020196	0.045287	0.075832	0.064016	0.058647	0.013730
0.525121	0.156130	0.004572	0.012883	0.020823	0.043989	0.074584	0.060541	0.055795	0.013686
0.522888	0.157059	0.004492	0.012971	0.021510	0.042740	0.073355	0.057187	0.053031	0.013684
0.520422	0.157927	0.004414	0.013064	0.022262	0.041539	0.072149	0.053955	0.050358	0.013727
0.517746	0.158737	0.004338	0.013162	0.023083	0.040387	0.070968	0.050846	0.047778	0.013814
0.514886	0.159489	0.004266	0.013263	0.023977	0.039282	0.069816	0.047862	0.045290	0.013948
0.511870	0.160185	0.004196	0.013368	0.024948	0.038224	0.068695	0.045001	0.042897	0.014129
0.508734	0.160823	0.004129	0.013475	0.026000	0.037211	0.067605	0.042264	0.040599	0.014358
0.505515	0.161401	0.004066	0.013585	0.027137	0.036240	0.066548	0.039651	0.038396	0.014635
0.502257	0.161916	0.004006	0.013697	0.028362	0.035311	0.065523	0.037161	0.036287	0.014962
0.499006	0.162365	0.003951	0.013810	0.029679	0.034420	0.064531	0.034793	0.034272	0.015339
0.495812	0.162747	0.003899	0.013923	0.031092	0.033565	0.063569	0.032545	0.032349	0.015767
0.492725	0.163063	0.003851	0.014037	0.032604	0.032745	0.062638	0.030416	0.030517	0.016246
0.489795	0.163316	0.003808	0.014150	0.034220	0.031957	0.061738	0.028401	0.028773	0.016777
0.487067	0.163512	0.003769	0.014263	0.035943	0.031199	0.060868	0.026499	0.027115	0.017361
0.484581	0.163659	0.003734	0.014374	0.037777	0.030470	0.060028	0.024707	0.025542	0.017997
0.482371	0.163768	0.003703	0.014484	0.039727	0.029770	0.059220	0.023022	0.024049	0.018685
0.480463	0.163850	0.003676	0.014592	0.041795	0.029096	0.058442	0.021440	0.022635	0.019425
0.478878	0.163919	0.003654	0.014699	0.043984	0.028448	0.057695	0.019959	0.021296	0.020217
0.477629	0.163986	0.003635	0.014804	0.046297	0.027824	0.056979	0.018574	0.020030	0.021061
0.476722	0.164062	0.003621	0.014908	0.048737	0.027223	0.056296	0.017284	0.018833	0.021957
0.476164	0.164156	0.003609	0.015010	0.051308	0.026645	0.055645	0.016083	0.017703	0.022905
0.475953	0.164276	0.003602	0.015112	0.054012	0.026088	0.055028	0.014970	0.016637	0.023903
0.476087	0.164426	0.003597	0.015213	0.056853	0.025551	0.054444	0.013942	0.015634	0.024952
